Dia;Hora;Mes;Anyo;Lluvia;Temperatura_Max;Temperatura_Min;Evaporacion;Cota_guadalhorce;Volumen_embalsado_guadalhorce;Variacion_volumen_guadalhorce;Tiempo_desembalse_guadalhorce;Caudal_desembalse_guadalhorce;Filtracion_guadalhorce;Volumen_desembalse_guadalhorce;Salinidad_guadalhorce;Toneladas_sal_guadalhorce;Volumen_evaporado_guadalhorce;Aportacion_aparente_guadalhorce;Cota_guadalteba;Volumen_embalsado_guadalteba;Variacion_volumen_guadalteba;Tiempo_desembalse_guadalteba;Caudal_desembalse_guadalteba;Filtraciones_guadalteba;Volumen_desembalse_guadalteba;Salinidad_guadalteba;Toneladas_sal_guadalteba;Volumen_evaporado_guadalteba;Aportacion_aparente_guadalteba;Volumen_total_guadalhorce_guadalteba;Variacion_total_guadalhorce_guadalteba;Desembalse_total_guadalhorce_guadalteba;Aportacion_aparente_total_guadalhorce_guadalteba;Cota_conde;Volumen_embalsado_conde;Variacion_volumen_conde;Filtraciones_conde;Volumen_desembalse_conde;Salinidad_conde;Toneladas_sal_conde;Volumen_evaporado_conde;Aportacion_aparente_conde;Volumen_total_guadalhorce_guadalteba_conde;Variacion_total_guadalhorce_guadalteba_conde;Desembalse_total_guadalhorce_guadalteba_conde;Aportacion_aparente_total_guadalhorce_guadalteba_conde;Caudal_total_demandas;Volumen_total_demandas;Salinidad_mezcla;Toneladas_sal_mezcla;Cota_gaitanejo;Volumen_gaitanejo;Volumen_central-reversible_tajo;Volumen_total_gaitanejo_tajo;Variacion_total_gaitanejo_tajo;Caudal_abastencimiento;Horas_abastecimiento;Min_abastecimiento;Volumen_abasteciemiento;Caudal_riego;Horas_riego;Min_riego;Volumen_riego;Caudal_ecologico;Horas_ecologico;Min_ecologico;Volumen_ecologico;Agua_sobrante;Total_volumen_abastecido;Aportacion_guadalhorce_tajo;Aportacion_arroyos_tajo;Total_aportacion;;;;;;;;;;;;;
1;8:00;01;2014;;13;5;0,6;360,11;111,012;0,132;;;0,020;0,020;2100;42;0,004;0,152;360,58;140,678;0,074;;;;0,000;;;0,004;0,074;251,690;0,206;0,020;0,226;335,88;43,155;0,076;0,004;0,004;;;0,002;0,080;294,845;0,282;0,024;0,306;1,95;0,168;;0;;;;;;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;;;;;;;;;;;;;;
2;8:00;01;2014;0,1;15;8;0,8;360,12;111,078;0,066;;;0,020;0,020;1989;40;0,005;0,086;360,57;140,604;-0,074;4:00;9,4;;0,125;;0;0,006;0,051;251,682;-0,008;0,145;0,137;335,89;43,193;0,038;0,004;0,004;;;0,003;0,042;294,875;0,030;0,149;0,179;1,95;0,168;807;136;300,60;0,030;0,020;0,050;#ÁVALOR!;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;;;;;;;;;;;;;;
3;8:00;01;2014;0,2;14;10;0,5;360,11;111,012;-0,066;5:00;9,0;0,020;0,182;1989;362;0,003;0,116;360,58;140,678;0,074;;;;0,000;;0;0,004;0,074;251,690;0,008;0,182;0,190;335,90;43,230;0,037;0,004;0,004;;;0,002;0,041;294,920;0,045;0,186;0,231;1,95;0,168;807;136;301,15;0,074;0,020;0,094;0,044;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;;;;;;;;;;;;;;
4;8:00;01;2014;1,7;15;12;0,9;360,11;111,012;0,000;3:22;9,0;0,020;0,129;1970;254;0,006;0,129;360,59;140,752;0,074;;;;0,000;;0;0,007;0,074;251,764;0,074;0,129;0,203;335,91;43,268;0,038;0,004;0,004;;;0,003;0,042;295,032;0,112;0,133;0,245;1,95;0,168;;0;;;;;;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;;;;;;;;;;;;;;
5;8:00;01;2014;0,7;17;6;1,3;360,13;111,144;0,132;;;0,020;0,020;1960;39;0,009;0,152;360,58;140,678;-0,074;4:00;9;;0,130;;0;0,010;0,056;251,822;0,058;0,150;0,208;335,92;43,306;0,038;0,004;0,004;;;0,005;0,042;295,128;0,096;0,154;0,250;1,95;0,168;;0;;;;;;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;;;;;;;;;;;;;;
6;8:00;01;2014;;18;6;1,0;360,14;111,210;0,066;;;0,020;0,020;1950;39;0,007;0,086;360,57;140,604;-0,074;4:00;9;;0,126;;0;0,007;0,052;251,814;-0,008;0,146;0,138;335,92;43,306;0,000;0,004;0,004;;;0,004;0,004;295,120;-0,008;0,150;0,142;1,95;0,168;;0;301,18;0,077;-0,017;0,060;#ÁVALOR!;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;;;;;;;;;;;;;;
7;8:00;01;2014;;18;5;1,2;360,15;111,276;0,066;;;0,020;0,020;1920;38;0,008;0,086;360,56;140,530;-0,074;5:00;9;;0,161;;0;0,009;0,087;251,806;-0,008;0,181;0,173;335,93;43,344;0,038;0,004;0,004;;;0,005;0,042;295,150;0,030;0,185;0,215;1,95;0,168;877;148;301,35;0,094;-0,032;0,062;0,002;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;;;;;;;;;;;;;;
8;8:00;01;2014;;18;4;2,2;360,16;111,342;0,066;;;0,020;0,020;1907;38;0,015;0,086;360,55;140,456;-0,074;4:30;9;;0,147;;0;0,016;0,073;251,798;-0,008;0,167;0,159;335,94;43,382;0,038;0,004;0,004;;;0,008;0,042;295,180;0,030;0,171;0,201;1,95;0,168;877;148;301,03;0,064;0,149;0,213;0,151;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;;;;;;;;;;;;;;
9;8:00;01;2014;;18;12;4,8;360,16;111,342;0,000;3:02;9,0;0,020;0,119;2176;259;0,032;0,119;360,56;140,530;0,074;;;;0,000;;0;0,036;0,074;251,872;0,074;0,119;0,193;335,94;43,382;0,000;0,004;0,004;;;0,018;0,004;295,254;0,074;0,123;0,197;1,95;0,168;;0;301,03;0,064;-0,020;0,044;-0,169;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;;;;;;;;;;;;;;
10;8:00;01;2014;;16;4;3,1;360,15;111,276;-0,066;4:15;9,0;0,020;0,158;1950;308;0,020;0,092;360,56;140,530;0,000;;;;0,000;;0;0,023;0,000;251,806;-0,066;0,158;0,092;335,95;43,420;0,038;0,004;0,004;;;0,012;0,042;295,226;-0,028;0,162;0,134;1,95;0,168;866;146;301,04;0,065;0,050;0,115;0,071;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;;;;;;;;;;;;;;
