Dia;Hora;Mes;Anyo;Lluvia;Temperatura_Max;Temperatura_Min;Evaporacion;Cota_guadalhorce;Volumen_embalsado_guadalhorce;Variacion_volumen_guadalhorce;Tiempo_desembalse_guadalhorce;Caudal_desembalse_guadalhorce;Filtracion_guadalhorce;Volumen_desembalse_guadalhorce;Salinidad_guadalhorce;Toneladas_sal_guadalhorce;Volumen_evaporado_guadalhorce;Aportacion_aparente_guadalhorce;Cota_guadalteba;Volumen_embalsado_guadalteba;Variacion_volumen_guadalteba;Tiempo_desembalse_guadalteba;Caudal_desembalse_guadalteba;Filtraciones_guadalteba;Volumen_desembalse_guadalteba;Salinidad_guadalteba;Toneladas_sal_guadalteba;Volumen_evaporado_guadalteba;Aportacion_aparente_guadalteba;Volumen_total_guadalhorce_guadalteba;Variacion_total_guadalhorce_guadalteba;Desembalse_total_guadalhorce_guadalteba;Aportacion_aparente_total_guadalhorce_guadalteba;Cota_conde;Volumen_embalsado_conde;Variacion_volumen_conde;Filtraciones_conde;Volumen_desembalse_conde;Salinidad_conde;Toneladas_sal_conde;Volumen_evaporado_conde;Aportacion_aparente_conde;Volumen_total_guadalhorce_guadalteba_conde;Variacion_total_guadalhorce_guadalteba_conde;Desembalse_total_guadalhorce_guadalteba_conde;Aportacion_aparente_total_guadalhorce_guadalteba_conde;Caudal_total_demandas;Volumen_total_demandas;Salinidad_mezcla;Toneladas_sal_mezcla;Cota_gaitanejo;Volumen_gaitanejo;Volumen_central-reversible_tajo;Volumen_total_gaitanejo_tajo;Variacion_total_gaitanejo_tajo;Caudal_abastencimiento;Horas_abastecimiento;Min_abastecimiento;Volumen_abasteciemiento;Caudal_riego;Horas_riego;Min_riego;Volumen_riego;Caudal_ecologico;Horas_ecologico;Min_ecologico;Volumen_ecologico;Agua_sobrante;Total_volumen_abastecido;Aportacion_guadalhorce_tajo;Aportacion_arroyos_tajo;Total_aportacion
1;8:00;01;2012;;14;2;1,6;360,21;111,672;0,066;;;0,020;0,020;1778;36;0,011;0,086;360,47;139,864;-0,074;5:00;9;;0,161;210;33,81;0,012;0,087;251,536;-0,008;0,181;0,173;336,49;45,495;0,000;0,004;0,004;25;0;0,006;0,004;297,031;-0,008;0,185;0,177;2,2;0,190;924;176;;;;;;1,65;24;0;0,143;0,2;24;0;0,017;0,35;24;0;0,030;0;0,190;;;
2;8:00;01;2012;;15;4;1,0;360,23;111,804;0,132;;;0,020;0,020;1778;36;0,007;0,152;360,46;139,790;-0,074;5:00;9;;0,161;210;33,81;0,007;0,087;251,594;0,058;0,181;0,239;336,50;45,534;0,039;0,004;0,004;25;0;0,004;0,043;297,128;0,097;0,185;0,282;2,2;0,190;866;165;301,30;0,089;-0,066;0,023;#ÁVALOR!;1,65;24;0;0,143;0,2;24;0;0,017;0,35;24;0;0,030;0;0,190;;;
3;8:00;01;2012;;14;5;1,2;360,24;111,871;0,067;;;0,020;0,020;1778;36;0,008;0,087;360,44;139,642;-0,148;5:00;9;;0,161;211;33,971;0,009;0,013;251,513;-0,081;0,181;0,100;336,51;45,573;0,039;0,004;0,004;25;0;0,005;0,043;297,086;-0,042;0,185;0,143;2,3;0,199;889;177;301,55;0,114;-0,070;0,044;0,021;1,6;24;0;0,138;0,35;24;0;0,030;0,35;24;0;0,030;0;0,199;;;
4;8:00;01;2012;;14;4;1,2;360,25;111,937;0,066;;;0,020;0,020;1814;36;0,008;0,086;360,42;139,495;-0,147;4:59;9;;0,159;211;33,549;0,009;0,012;251,432;-0,081;0,179;0,098;336,51;45,573;0,000;0,004;0,004;25;0;0,005;0,004;297,005;-0,081;0,183;0,102;2,3;0,199;772;153;301,30;0,089;-0,050;0,039;-0,005;1,6;24;0;0,138;0,35;24;0;0,030;0,35;24;0;0,030;0;0,199;;;
5;8:00;01;2012;;15;2;1,4;360,26;112,003;0,066;;;0,020;0,020;1778;36;0,009;0,086;360,40;139,347;-0,148;6:24;9;;0,203;211;42,833;0,010;0,055;251,350;-0,082;0,223;0,141;336,51;45,573;0,000;0,004;0,004;25;0;0,005;0,004;296,923;-0,082;0,227;0,145;2,3;0,199;761;151;301,20;0,079;-0,009;0,070;;1,6;24;0;0,138;0,35;24;0;0,030;0,35;24;0;0,030;0;0,199;;;
6;8:00;01;2012;;15;3;1,1;360,26;112,003;0,000;02:27;9;0,020;0,099;1770;175;0,007;0,099;360,40;139,347;0,000;;;;0,000;211;0;0,008;0,000;251,350;0,000;0,099;0,099;336,47;45,417;-0,156;0,004;0,136;25;3;0,004;-0,020;296,767;-0,156;0,235;0,079;2,3;0,199;854;170;;;;;;1,6;24;0;0,138;0,35;24;0;0,030;0,35;24;0;0,030;0;0,199;;;
7;8:00;01;2012;;16;4;1,1;360,26;112,003;0,000;01:45;9;0,020;0,077;1760;136;0,007;0,077;360,41;139,421;0,074;;;;0,000;211;0;0,008;0,074;251,424;0,074;0,077;0,151;336,45;45,340;-0,077;0,004;0,092;25;2;0,004;0,015;296,764;-0,003;0,169;0,166;2,3;0,199;842;167;;;;;;1,6;24;0;0,138;0,35;24;0;0,030;0,35;24;0;0,030;0;0,199;;;
8;8:00;01;2012;;16;6;2,0;360,26;112,003;0,000;02:30;9;0,020;0,100;1755;176;0,013;0,100;360,42;139,495;0,074;;;;0,000;211;0;0,015;0,074;251,498;0,074;0,100;0,174;336,43;45,262;-0,078;0,004;0,136;25;3;0,008;0,058;296,760;-0,004;0,236;0,232;2,3;0,199;842;167;;;;;;1,6;24;0;0,138;0,35;24;0;0,030;0,35;24;0;0,030;0;0,199;;;
9;8:00;01;2012;;16;4;1,6;360,26;112,003;0,000;01:45;9;0,020;0,077;1755;135;0,011;0,077;360,42;139,495;0,000;;;;0,000;211;0;0,012;0,000;251,498;0,000;0,077;0,077;336,40;45,146;-0,116;0,004;0,092;25;2;0,006;-0,024;296,644;-0,116;0,169;0,053;2,2;0,190;807;153;301,52;0,111;0,200;0,311;#ÁVALOR!;1,5;24;0;0,130;0,35;24;0;0,030;0,35;24;0;0,030;0;0,190;;;
10;8:00;01;2012;;14;4;1,6;360,26;112,003;0,000;02:57;9;0,020;0,116;1755;204;0,011;0,116;360,42;139,495;0,000;;;;0,000;222;0;0,012;0,000;251,498;0,000;0,116;0,116;336,37;45,030;-0,116;0,004;0,137;25;3;0,006;0,021;296,528;-0,116;0,253;0,137;2,2;0,190;831;158;301,64;0,123;0,080;0,203;-0,108;1,5;24;0;0,130;0,35;24;0;0,030;0,35;24;0;0,030;0;0,190;;;
