Dia;Hora;Mes;Anyo;Lluvia;Temperatura_Max;Temperatura_Min;Evaporacion;Cota_guadalhorce;Volumen_embalsado_guadalhorce;Variacion_volumen_guadalhorce;Tiempo_desembalse_guadalhorce;Caudal_desembalse_guadalhorce;Filtracion_guadalhorce;Volumen_desembalse_guadalhorce;Salinidad_guadalhorce;Toneladas_sal_guadalhorce;Volumen_evaporado_guadalhorce;Aportacion_aparente_guadalhorce;Cota_guadalteba;Volumen_embalsado_guadalteba;Variacion_volumen_guadalteba;Tiempo_desembalse_guadalteba;Caudal_desembalse_guadalteba;Filtraciones_guadalteba;Volumen_desembalse_guadalteba;Salinidad_guadalteba;Toneladas_sal_guadalteba;Volumen_evaporado_guadalteba;Aportacion_aparente_guadalteba;Volumen_total_guadalhorce_guadalteba;Variacion_total_guadalhorce_guadalteba;Desembalse_total_guadalhorce_guadalteba;Aportacion_aparente_total_guadalhorce_guadalteba;Cota_conde;Volumen_embalsado_conde;Variacion_volumen_conde;Filtraciones_conde;Volumen_desembalse_conde;Salinidad_conde;Toneladas_sal_conde;Volumen_evaporado_conde;Aportacion_aparente_conde;Volumen_total_guadalhorce_guadalteba_conde;Variacion_total_guadalhorce_guadalteba_conde;Desembalse_total_guadalhorce_guadalteba_conde;Aportacion_aparente_total_guadalhorce_guadalteba_conde;Caudal_total_demandas;Volumen_total_demandas;Salinidad_mezcla;Toneladas_sal_mezcla;Cota_gaitanejo;Volumen_gaitanejo;Volumen_central-reversible_tajo;Volumen_total_gaitanejo_tajo;Variacion_total_gaitanejo_tajo;Caudal_abastencimiento;Horas_abastecimiento;Min_abastecimiento;Volumen_abasteciemiento;Caudal_riego;Horas_riego;Min_riego;Volumen_riego;Caudal_ecologico;Horas_ecologico;Min_ecologico;Volumen_ecologico;Agua_sobrante;Total_volumen_abastecido;Aportacion_guadalhorce_tajo;Aportacion_arroyos_tajo;Total_aportacion
1;8:00;01;2013;0,6;12;4;0,8;360,02;110,420;0,000;13:00;9;0,020;0,441;3182;1.403;0,005;0,441;361,06;144,241;0,000;;;;0,000;;0;0,006;0,000;254,661;0,000;0,441;0,441;339,97;60,162;0,091;0,004;0,004;;;0,004;0,095;314,823;0,091;0,445;0,536;;;;;;;;;;0,0;24;0;0,000;0,0;24;0;0,000;0,0;24;0;0,000;0;;;;
2;8:00;01;2013;0,5;11;6;0,6;360,02;110,420;0,000;13:00;9;0,020;0,441;3182;1.403;0,004;0,441;361,06;144,241;0,000;;;;0,000;351;0;0,004;0,000;254,661;0,000;0,441;0,441;339,98;60,208;0,046;0,004;0,004;;;0,003;0,050;314,869;0,046;0,445;0,491;;;;;300,20;0,000;0,546;0,546;#ÁVALOR!;0,0;24;0;0,000;0,0;24;0;0,000;0,0;24;0;0,000;0;;;;
3;8:00;01;2013;;12;4;2,3;359,99;110,224;-0,196;20:00;9;0,020;0,668;3150;2.104;0,015;0,472;361,07;144,315;0,074;;;;0,000;;0;0,017;0,074;254,539;-0,122;0,668;0,546;339,98;60,208;0,000;0,004;0,004;;;0,011;0,004;314,747;-0,122;0,672;0,550;;;;;301,72;0,131;0,316;0,447;-0,099;0,0;24;0;0,000;0,0;24;0;0,000;0,0;24;0;0,000;0;;;;
4;8:00;01;2013;;12;4;1,6;360,05;110,617;0,393;;;0,020;0,020;3101;62;0,010;0,413;361,07;144,315;0,000;;;;0,000;362;0;0,012;0,000;254,932;0,393;0,020;0,413;339,98;60,208;0,000;0,004;0,004;;;0,007;0,004;315,140;0,393;0,024;0,417;;;;;301,00;0,061;0,372;0,433;-0,014;0,0;24;0;0,000;0,0;24;0;0,000;0,0;24;0;0,000;0;;;;
5;8:00;01;2013;;13;6;1,1;360,04;110,552;-0,065;15:00;9;0,020;0,506;3100;1.569;0,007;0,441;361,07;144,315;0,000;;;;0,000;;0;0,008;0,000;254,867;-0,065;0,506;0,441;339,99;60,254;0,046;0,004;0,004;;;0,005;0,050;315,121;-0,019;0,510;0,491;;;;;;;;;;0,0;24;0;0,000;0,0;24;0;0,000;0,0;24;0;0,000;0;;;;
6;8:00;01;2013;;14;4;1,9;360,02;110,420;-0,132;15:00;9;0,020;0,506;3100;1.569;0,013;0,374;361,07;144,315;0,000;;;;0,000;;0;0,014;0,000;254,735;-0,132;0,506;0,374;339,99;60,254;0,000;0,004;0,004;;;0,009;0,004;314,989;-0,132;0,510;0,378;;;;;;;;;;0,0;24;0;0,000;0,0;24;0;0,000;0,0;24;0;0,000;0;;;;
7;8:00;01;2013;;14;3;1,2;360,01;110,355;-0,065;15:00;9;0,020;0,506;3050;1.543;0,008;0,441;361,07;144,315;0,000;;;;0,000;;0;0,009;0,000;254,670;-0,065;0,506;0,441;340,00;60,300;0,046;0,004;0,004;;;0,006;0,050;314,970;-0,019;0,510;0,491;;;;;301,92;0,158;0,301;0,459;#ÁVALOR!;0,0;24;0;0,000;0,0;24;0;0,000;0,0;24;0;0,000;0;;;;
8;8:00;01;2013;;14;3;1,0;360,06;110,683;0,328;;;0,020;0,020;3050;61;0,007;0,348;361,07;144,315;0,000;;;;0,000;;0;0,007;0,000;254,998;0,328;0,020;0,348;340,00;60,300;0,000;0,004;0,004;;;0,005;0,004;315,298;0,328;0,024;0,352;;;2714;2.714;301,90;0,156;0,214;0,370;-0,089;0,0;24;0;0,000;0,0;24;0;0,000;0,0;24;0;0,000;0;;;;
9;8:00;01;2013;;12;2;1,5;360,12;111,078;0,395;;;0,020;0,020;2960;59;0,010;0,415;361,07;144,315;0,000;;;;0,000;351;0;0,011;0,000;255,393;0,395;0,020;0,415;340,01;60,346;0,046;0,004;0,004;;;0,007;0,050;315,739;0,441;0,024;0,465;1,0;0,072;;0;301,87;0,152;0,168;0,320;-0,050;0,9;24;0;0,065;0,0;24;0;0,000;0,1;24;0;0,007;0;0,072;;;
10;8:00;01;2013;;13;4;0,9;360,17;111,408;0,330;;;0,020;0,020;2960;59;0,006;0,350;361,07;144,315;0,000;;;;0,000;;0;0,007;0,000;255,723;0,330;0,020;0,350;340,01;60,346;0,000;0,004;0,004;;;0,004;0,004;316,069;0,330;0,024;0,354;1,0;0,086;;0;301,87;0,152;0,150;0,302;-0,018;0,9;24;0;0,078;0,0;24;0;0,000;0,1;24;0;0,009;0;0,086;;;
