Dia;Hora;Mes;Anyo;Lluvia;Temperatura_Max;Temperatura_Min;Evaporacion;Cota_guadalhorce;Volumen_embalsado_guadalhorce;Variacion_volumen_guadalhorce;Tiempo_desembalse_guadalhorce;Caudal_desembalse_guadalhorce;Filtracion_guadalhorce;Volumen_desembalse_guadalhorce;Salinidad_guadalhorce;Toneladas_sal_guadalhorce;Volumen_evaporado_guadalhorce;Aportacion_aparente_guadalhorce;Cota_guadalteba;Volumen_embalsado_guadalteba;Variacion_volumen_guadalteba;Tiempo_desembalse_guadalteba;Caudal_desembalse_guadalteba;Filtraciones_guadalteba;Volumen_desembalse_guadalteba;Salinidad_guadalteba;Toneladas_sal_guadalteba;Volumen_evaporado_guadalteba;Aportacion_aparente_guadalteba;Volumen_total_guadalhorce_guadalteba;Variacion_total_guadalhorce_guadalteba;Desembalse_total_guadalhorce_guadalteba;Aportacion_aparente_total_guadalhorce_guadalteba;Cota_conde;Volumen_embalsado_conde;Variacion_volumen_conde;Filtraciones_conde;Volumen_desembalse_conde;Salinidad_conde;Toneladas_sal_conde;Volumen_evaporado_conde;Aportacion_aparente_conde;Volumen_total_guadalhorce_guadalteba_conde;Variacion_total_guadalhorce_guadalteba_conde;Desembalse_total_guadalhorce_guadalteba_conde;Aportacion_aparente_total_guadalhorce_guadalteba_conde;Caudal_total_demandas;Volumen_total_demandas;Salinidad_mezcla;Toneladas_sal_mezcla;Cota_gaitanejo;Volumen_gaitanejo;Volumen_central-reversible_tajo;Volumen_total_gaitanejo_tajo;Variacion_total_gaitanejo_tajo;Caudal_abastencimiento;Horas_abastecimiento;Min_abastecimiento;Volumen_abasteciemiento;Caudal_riego;Horas_riego;Min_riego;Volumen_riego;Caudal_ecologico;Horas_ecologico;Min_ecologico;Volumen_ecologico;Agua_sobrante;Total_volumen_abastecido;Aportacion_guadalhorce_tajo;Aportacion_arroyos_tajo;Total_aportacion;;;;;;;;;;;;;
11;8:00;01;2015;;18;3;1,5;359,19;105,078;0,063;;;0,020;0,020;;0;0,009;0,083;356,68;113,793;0,000;;;;0,000;;0;0,009;0,000;218,871;0,063;0,020;0,083;337,31;48,740;-0,120;0,004;0,149;;;0,006;0,029;267,611;-0,057;0,169;0,112;1,65;0,143;878;125;;;;;;1,3;24;0;0,112;0,0;24;0;0,000;0,35;24;0;0,030;0;0,143;;;;;;;;;;;;;;;;
12;8:00;01;2015;;17;4;1,7;359,20;105,141;0,063;;;0,020;0,020;2036;41;0,011;0,083;356,69;113,857;0,064;;;;0,000;;0;0,011;0,064;218,998;0,127;0,020;0,147;337,28;48,619;-0,121;0,004;0,149;;;0,007;0,028;267,617;0,006;0,169;0,175;1,65;0,143;878;125;300,92;0,055;0,387;0,442;#ÁVALOR!;1,3;24;0;0,112;0,0;24;0;0,000;0,35;24;0;0,030;0;0,143;;;;;;;;;;;;;;;;
13;8:00;01;2015;;14;11;2,2;359,20;105,141;0,000;2:30;9,0;0,020;0,101;2024;204;0,014;0,101;356,65;113,602;-0,255;9:00;9;;0,292;;0;0,014;0,037;218,743;-0,255;0,393;0,138;337,28;48,619;0,000;0,004;0,004;;;0,009;0,004;267,362;-0,255;0,397;0,142;3,45;0,292;889;259;300,96;0,058;0,441;0,499;0,057;1,3;24;0;0,112;1,8;23;0;0,149;0,35;24;0;0,030;0;0,292;;;;;;;;;;;;;;;;
14;8:00;01;2015;;16;7;1,1;359,20;105,141;0,000;2:30;9,0;0,020;0,101;;0;0,007;0,101;356,61;113,348;-0,254;9:00;9;;0,292;;0;0,007;0,038;218,489;-0,254;0,393;0,139;337,28;48,619;0,000;0,004;0,004;;;0,004;0,004;267,108;-0,254;0,397;0,143;3,65;0,315;807;254;301,08;0,068;0,457;0,525;0,026;1,3;24;0;0,112;2,0;23;0;0,172;0,35;24;0;0,030;0;0,315;;;;;;;;;;;;;;;;
15;8:00;01;2015;0,2;14;6;0,5;359,19;105,078;-0,063;2:30;9,0;0,020;0,101;2024;204;0,003;0,038;356,57;113,094;-0,254;8:00;9;;0,259;;0;0,003;0,005;218,172;-0,317;0,360;0,043;337,28;48,619;0,000;0,004;0,004;;;0,002;0,004;266,791;-0,317;0,364;0,047;3,65;0,315;831;262;301,42;0,101;0,520;0,621;0,096;1,3;24;0;0,112;2,0;24;0;0,173;0,35;24;0;0,030;0;0,315;;;;;;;;;;;;;;;;
16;8:00;01;2015;4,4;15;5;0,5;359,19;105,078;0,000;2:30;9,0;0,020;0,101;1673;169;0,003;0,101;356,54;112,904;-0,190;8:00;9;;0,259;;0;0,003166667;0,069;217,982;-0,190;0,360;0,170;337,29;48,659;0,040;0,004;0,004;;;0,002;0,044;266,641;-0,150;0,364;0,214;3,65;0,315;842;266;301,32;0,091;0,578;0,669;0,048;1,3;24;0;0,112;2,0;24;0;0,173;0,35;24;0;0,030;0;0,315;;;;;;;;;;;;;;;;
17;8:00;01;2015;;17;2;1,5;359,19;105,078;0,000;2:00;9,0;0,020;0,085;1661;141;0,009;0,085;356,51;112,714;-0,190;7:00;9;;0,227;;0;0,0095;0,037;217,792;-0,190;0,312;0,122;337,29;48,659;0,000;0,004;0,004;;;0,006;0,004;266,451;-0,190;0,316;0,126;3,45;0,300;;0;;;;;;1,3;24;0;0,112;1,8;22,5;0;0,157;0,35;24;0;0,030;0;0,300;;;;;;;;;;;;;;;;
18;8:00;01;2015;3,7;9;3;0,8;359,20;105,141;0,063;;;0,020;0,020;;0;0,005;0,083;356,48;112,525;-0,189;5:00;9;;0,162;;0;0,005;-0,027;217,666;-0,126;0,182;0,056;337,30;48,699;0,040;0,004;0,004;;;0,003;0,044;266,365;-0,086;0,186;0,100;3,45;0,298;;0;;;;;;1,3;24;0;0,112;1,8;24;0;0,156;0,35;24;0;0,030;0;0,298;;;;;;;;;;;;;;;;
19;8:00;01;2015;21,8;12;4;0,6;359,24;105,394;0,253;;;0,020;0,020;;0;0,004;0,273;356,48;112,525;0,000;5:00;9;;0,162;;0;0,004;0,162;217,919;0,253;0,182;0,435;337,31;48,740;0,041;0,004;0,004;;;0,002;0,045;266,659;0,294;0,186;0,480;3,45;0,298;784;234;300,71;0,037;0,284;0,321;#ÁVALOR!;1,3;24;0;0,112;1,8;24;0;0,156;0,35;24;0;0,030;0;0,298;;;;;;;;;;;;;;;;
20;8:00;01;2015;;11;0;1,3;359,30;105,774;0,380;2:30;9,0;0,020;0,101;1931;195;0,008;0,481;356,47;112,462;-0,063;6:00;9;;0,194;;0;0,008;0,131;218,236;0,317;0,295;0,612;337,32;48,780;0,040;0,004;0,004;;;0,005;0,044;267,016;0,357;0,299;0,656;1,85;0,180;772;139;301,28;0,087;0,398;0,485;0,164;1,5;20;30;0,127;0,0;20;30;0,023;0,35;24;0;0,030;0;0,180;;;;;;;;;;;;;;;;
