Dia;Hora;Mes;Anyo;Lluvia;Temperatura_Max;Temperatura_Min;Evaporacion;Cota_guadalhorce;Volumen_embalsado_guadalhorce;Variacion_volumen_guadalhorce;Tiempo_desembalse_guadalhorce;Caudal_desembalse_guadalhorce;Filtracion_guadalhorce;Volumen_desembalse_guadalhorce;Salinidad_guadalhorce;Toneladas_sal_guadalhorce;Volumen_evaporado_guadalhorce;Aportacion_aparente_guadalhorce;Cota_guadalteba;Volumen_embalsado_guadalteba;Variacion_volumen_guadalteba;Tiempo_desembalse_guadalteba;Caudal_desembalse_guadalteba;Filtraciones_guadalteba;Volumen_desembalse_guadalteba;Salinidad_guadalteba;Toneladas_sal_guadalteba;Volumen_evaporado_guadalteba;Aportacion_aparente_guadalteba;Volumen_total_guadalhorce_guadalteba;Variacion_total_guadalhorce_guadalteba;Desembalse_total_guadalhorce_guadalteba;Aportacion_aparente_total_guadalhorce_guadalteba;Cota_conde;Volumen_embalsado_conde;Variacion_volumen_conde;Filtraciones_conde;Volumen_desembalse_conde;Salinidad_conde;Toneladas_sal_conde;Volumen_evaporado_conde;Aportacion_aparente_conde;Volumen_total_guadalhorce_guadalteba_conde;Variacion_total_guadalhorce_guadalteba_conde;Desembalse_total_guadalhorce_guadalteba_conde;Aportacion_aparente_total_guadalhorce_guadalteba_conde;Caudal_total_demandas;Volumen_total_demandas;Salinidad_mezcla;Toneladas_sal_mezcla;Cota_gaitanejo;Volumen_gaitanejo;Volumen_central-reversible_tajo;Volumen_total_gaitanejo_tajo;Variacion_total_gaitanejo_tajo;Caudal_abastencimiento;Horas_abastecimiento;Min_abastecimiento;Volumen_abasteciemiento;Caudal_riego;Horas_riego;Min_riego;Volumen_riego;Caudal_ecologico;Horas_ecologico;Min_ecologico;Volumen_ecologico;Agua_sobrante;Total_volumen_abastecido;Aportacion_guadalhorce_tajo;Aportacion_arroyos_tajo;Total_aportacion;;;;;;;;;;;;;
12;8:00;03;2015;;23;6;4,0;360,02;110,420;0,065;;;0,020;0,020;;0;0,026;0,085;357,23;117,335;0,065;;;;0,000;;0;0,026;0,065;227,755;0,130;0,020;0,150;338,34;52,984;0,084;0,004;0,004;;;0,017;0,088;280,739;0,214;0,024;0,238;0,35;0,030;1252;38;301,77;0,136;0,537;0,673;0,022;0,0;24;0;0,000;0,0;24;0;0,000;0,35;24;0;0,030;0;0,030;;;;;;;;;;;;;;;;
13;8:00;03;2015;;23;6;3,4;360,03;110,486;0,066;;;0,020;0,020;2059;41;0,022;0,086;357,23;117,335;0,000;;;;0,000;;0;0,022;0,000;227,821;0,066;0,020;0,086;338,35;53,026;0,042;0,004;0,004;;;0,014;0,046;280,847;0,108;0,024;0,132;0,35;0,030;;0;301,63;0,122;0,250;0,372;-0,301;0,0;24;0;0,000;0,0;24;0;0,000;0,35;24;0;0,030;0;0,030;;;;;;;;;;;;;;;;
14;8:00;03;2015;;19;8;2,2;360,04;110,552;0,066;;;0,020;0,020;;0;0,015;0,086;357,24;117,400;0,065;;;;0,000;;0;0,014;0,065;227,952;0,131;0,020;0,151;338,31;52,858;-0,168;0,004;0,159;;;0,009;-0,009;280,810;-0,037;0,179;0,142;0,35;0,030;;0;;;;;;0,0;24;0;0,000;0,0;24;0;0,000;0,35;24;0;0,030;0;0,030;;;;;;;;;;;;;;;;
15;8:00;03;2015;;19;8;2,4;360,04;110,552;0,000;;;0,020;0,020;;0;0,016;0,020;357,25;117,466;0,066;;;;0,000;;0;0,016;0,066;228,018;0,066;0,020;0,086;338,30;52,815;-0,043;0,004;0,107;;;0,010;0,064;280,833;0,023;0,127;0,150;0,35;0,030;;0;;;;;;0,0;24;0;0,000;0,0;24;0;0,000;0,35;24;0;0,030;0;0,030;;;;;;;;;;;;;;;;
16;8:00;03;2015;;16;6;2,3;360,05;110,617;0,065;;;0,020;0,020;;0;0,015;0,085;357,26;117,531;0,065;;;;0,000;;0;0,01495;0,065;228,148;0,130;0,020;0,150;338,29;52,773;-0,042;0,004;0,06;;;0,010;0,018;280,921;0,088;0,08;0,168;0,35;0,030;;0;301,85;0,148;0,512;0,660;#ÁVALOR!;0,0;24;0;0,000;0,0;24;0;0,000;0,35;24;0;0,030;0;0,030;;;;;;;;;;;;;;;;
17;8:00;03;2015;;18;6;4,0;360,05;110,617;0,000;;;0,020;0,020;;0;0,026;0,020;357,27;117,596;0,065;;;;0,000;;0;0,026;0,065;228,213;0,065;0,020;0,085;338,28;52,731;-0,042;0,004;0,077;;;0,017;0,035;280,944;0,023;0,097;0,120;3,05;0,239;;0;301,59;0,118;0,380;0,498;-0,162;1,5;21;0;0,116;1,2;17;0;0,093;0,35;24;0;0,030;0;0,239;;;;;;;;;;;;;;;;
18;8:00;03;2015;12,5;13;8;1,2;360,06;110,683;0,066;;;0,020;0,020;;0;0,008;0,086;357,28;117,661;0,065;;;;0,000;;0;0,008;0,065;228,344;0,131;0,020;0,151;338,28;52,731;0,000;0,004;0,047;;;0,005;0,047;281,075;0,131;0,067;0,198;3,05;0,264;831;219;301,33;0,092;0,200;0,292;-0,206;1,5;24;0;0,130;1,2;24;0;0,104;0,35;24;0;0,030;0;0,264;;;;;;;;;;;;;;;;
19;8:00;03;2015;9;12;8;1,2;360,07;110,749;0,066;;;0,020;0,020;2071;41;0,008;0,086;357,30;117,792;0,131;;;;0,000;;0;0,008;0,131;228,541;0,197;0,020;0,217;338,29;52,773;0,042;0,004;0,09;;;0,005;0,132;281,314;0,239;0,110;0,349;2,35;0,209;632;132;301,16;0,075;0,181;0,256;-0,036;1,5;24;0;0,130;0,5;23;0;0,049;0,35;24;0;0,030;0;0,209;;;;;;;;;;;;;;;;
20;8:00;03;2015;22,2;16;10;1,5;360,12;111,078;0,329;;;0,020;0,020;;0;0,010;0,349;357,34;118,053;0,261;;;;0,000;;0;0,010;0,261;229,131;0,590;0,020;0,610;338,30;52,815;0,042;0,004;0,09;;;0,006;0,132;281,946;0,632;0,11;0,742;2,55;0,181;;0;301,81;0,143;0,040;0,183;-0,073;1,7;21;0;0,145;0,5;3;0;0,005;0,35;24;0;0,030;0;0,181;;;;;;;;;;;;;;;;
21;8:00;03;2015;8;12;10;0,6;360,15;111,276;0,198;;;0,020;0,020;;0;0,004;0,218;357,38;118,315;0,262;;;;0,000;;0;0,004;0,262;229,591;0,460;0,020;0,480;338,37;53,111;0,296;0,004;0,176;;;0,003;0,472;282,702;0,756;0,196;0,952;2,05;0,177;;0;;;;;;1,7;24;0;0,147;0,0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;;;;;;;;;;;;;;
22;8:00;03;2015;4,5;12;7;0,6;360,18;111,474;0,198;;;0,020;0,020;;0;0,004;0,218;357,40;118,446;0,131;;;;0,000;;0;0,004;0,131;229,920;0,329;0,020;0,349;338,43;53,365;0,254;0,004;0,177;;;0,003;0,431;283,285;0,583;0,197;0,780;2,05;0,177;;0;;;;;;1,7;24;0;0,147;0,0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;;;;;;;;;;;;;;
23;8:00;03;2015;9,2;12;9;0,8;360,21;111,672;0,198;;;0,020;0,020;;0;0,005;0,218;357,46;118,840;0,394;;;;0,000;;0;0,005;0,394;230,512;0,592;0,020;0,612;338,52;53,748;0,383;0,004;0,177;;;0,003;0,560;284,260;0,975;0,197;1,172;2,05;0,177;1053;187;301,86;0,149;0,216;0,365;#ÁVALOR!;1,7;24;0;0,147;0,0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;;;;;;;;;;;;;;
24;8:00;03;2015;13;14;5;1,2;360,25;111,937;0,265;;;0,020;0,020;;0;0,008;0,285;357,52;119,235;0,395;;;;0,000;;0;0,008;0,395;231,172;0,660;0,020;0,680;338,62;54,176;0,428;0,004;0,221;;;0,005;0,649;285,348;1,088;0,241;1,329;1,85;0,163;1065;174;301,80;0,141;0,272;0,413;0,048;1,5;20;0;0,133;0,0;24;0;0,000;0,35;24;0;0,030;0;0,163;;;;;;;;;;;;;;;;
25;8:00;03;2015;0;13;6;2,9;360,30;112,269;0,332;;;0,020;0,020;;0;0,019;0,352;357,57;119,565;0,330;;;;0,000;;0;0,019;0,330;231,834;0,662;0,020;0,682;338,68;54,433;0,257;0,004;0,135;;;0,012;0,392;286,267;0,919;0,155;1,074;1,75;0,151;948;143;301,88;0,153;0,293;0,446;0,033;1,4;24;0;0,121;0,0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;;;;;;;;;;;;;;
26;8:00;03;2015;;13;4;5,5;360,31;112,335;0,066;;;0,020;0,020;;0;0,036;0,086;357,59;119,697;0,132;;;;0,000;;0;0,036;0,132;232,032;0,198;0,020;0,218;338,71;54,562;0,129;0,004;0,134;;;0,024;0,263;286,594;0,327;0,154;0,481;1,75;0,151;878;133;301,88;0,153;0,283;0,436;-0,01;1,4;24;0;0,121;0,0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;;;;;;;;;;;;;;
27;8:00;03;2015;;15;5;3,0;360,33;112,468;0,133;;;0,020;0,020;;0;0,020;0,153;357,62;119,896;0,199;;;;0,000;;0;0,020;0,199;232,364;0,332;0,020;0,352;338,72;54,605;0,043;0,004;0,134;;;0,013;0,177;286,969;0,375;0,154;0,529;1,85;0,158;772;122;301,90;0,156;0,337;0,493;0,057;1,5;19;0;0,128;0,0;24;0;0,000;0,35;24;0;0,030;0;0,158;;;;;;;;;;;;;;;;
28;8:00;03;2015;;21;10;3,6;360,35;112,601;0,133;;;0,020;0,020;;0;0,024;0,153;357,64;120,028;0,132;;;;0,000;;0;0,024;0,132;232,629;0,265;0,020;0,285;338,73;54,648;0,043;0,004;0,134;;;0,015;0,177;287,277;0,308;0,154;0,462;1,85;0,160;;0;;;;;;1,5;24;0;0,130;0,0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;;;;;;;;;;;;;;
29;8:00;03;2015;;25;10;4,2;360,38;112,801;0,200;;;0,020;0,020;;0;0,028;0,220;357,68;120,293;0,265;;;;0,000;;0;0,028;0,265;233,094;0,465;0,020;0,485;338,73;54,648;0,000;0,004;0,134;;;0,018;0,134;287,742;0,465;0,154;0,619;1,85;0,160;;0;;;;;;1,5;24;0;0,130;0,0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;;;;;;;;;;;;;;
30;8:00;03;2015;;25;10;4,2;360,40;112,935;0,134;;;0,020;0,020;;0;0,028;0,154;357,71;120,492;0,199;;;;0,000;;0;0,028;0,199;233,427;0,333;0,020;0,353;338,72;54,605;-0,043;0,004;0,134;;;0,018;0,091;288,032;0,290;0,154;0,444;1,85;0,160;725;116;301,90;0,156;0,429;0,585;#ÁVALOR!;1,5;24;0;0,130;0,0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;;;;;;;;;;;;;;
31;8:00;03;2015;;26;11;4,4;360,42;113,068;0,133;;;0,020;0,020;;0;0,029;0,153;357,74;120,692;0,200;;;;0,000;;;0,029333333;0,200;233,760;0,333;0,020;0,353;338,76;54,778;0,173;0,004;0,004;;;0,019;0,177;288,538;0,506;0,024;0,530;1,95;0,168;714;120;301,90;0,156;0,374;0,530;-0,055;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;;;;;;;;;;;;;;
1;8:00;04;2015;;28;12;4,4;360,43;113,135;0,067;0:05;15,5;0,020;0,025;;0;0,029;0,092;357,76;120,825;0,133;;;;0,000;;0;0,029;0,133;233,960;0,200;0,025;0,225;338,78;54,864;0,086;0,004;0,004;;;0,019;0,090;288,824;0,286;0,029;0,315;1,95;0,168;;0;301,90;0,156;0,300;0,456;-0,074;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;;;;;;;;;;;;;;
2;8:00;04;2015;;26;14;6,4;360,41;113,001;-0,134;5:00;;0,020;0,182;;0;0,043;0,048;357,77;120,891;0,066;;;;0,000;;0;0,042;0,066;233,892;-0,068;0,182;0,114;338,79;54,907;0,043;0,004;0,004;;;0,028;0,047;288,799;-0,025;0,186;0,161;1,95;0,168;;0;;;;;;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;;;;;;;;;;;;;;
3;8:00;04;2015;;19;13;6,0;360,39;112,868;-0,133;5:00;;0,020;0,182;;0;0,040;0,049;357,78;120,958;0,067;;;;0,000;;0;0,040;0,067;233,826;-0,066;0,182;0,116;338,80;54,951;0,044;0,004;0,004;;;0,026;0,048;288,777;-0,022;0,186;0,164;1,95;0,168;;0;;;;;;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;;;;;;;;;;;;;;
4;8:00;04;2015;;20;12;4,0;360,37;112,735;-0,133;5:00;;0,020;0,182;;0;0,027;0,049;357,81;121,158;0,200;;;;0,000;;0;0,027;0,200;233,893;0,067;0,182;0,249;338,82;55,037;0,086;0,004;0,004;;;0,017;0,090;288,930;0,153;0,186;0,339;1,95;0,168;;0;;;;;;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;;;;;;;;;;;;;;
5;8:00;04;2015;;22;11;3,6;360,35;112,601;-0,134;5:00;;0,020;0,182;;0;0,024;0,048;357,82;121,225;0,067;;;;0,000;;0;0,024;0,067;233,826;-0,067;0,182;0,115;338,83;55,080;0,043;0,004;0,004;;;0,015;0,047;288,906;-0,024;0,186;0,162;1,95;0,168;;0;;;;;;1,6;24;0;0,138;0,0;22;0;0,000;0,35;24;0;0,030;0;0,168;;;;;;;;;;;;;;;;
6;8:00;04;2015;;22;11;2,6;360,32;112,402;-0,199;5:00;;0,020;0,182;;0;0,017;-0,017;357,84;121,358;0,133;;;;0,000;;0;0,017;0,133;233,760;-0,066;0,182;0,116;338,84;55,124;0,044;0,004;0,004;;;0,011;0,048;288,884;-0,022;0,186;0,164;1,95;0,168;1006;169;301,81;0,143;0,520;0,663;#ÁVALOR!;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;;;;;;;;;;;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
7;8:00;04;2015;;16;12;3,1;360,29;112,202;-0,200;5:00;;0,020;0,182;;0;0,021;-0,018;357,85;121,425;0,067;;;;0,000;;0;0,021;0,067;233,627;-0,133;0,182;0,049;338,86;55,210;0,086;0,004;0,004;;;0,013;0,090;288,837;-0,047;0,186;0,139;2,05;0,174;1451;253;301,80;0,141;0,644;0,785;0,122;1,7;16;0;0,144;0,0;24;0;0,000;0,35;24;0;0,030;0;0,174;;;;;;;;;;;;;;;;
8;8:00;04;2015;1,5;14;11;4,0;360,30;112,269;0,067;;;0,020;0,020;;0;0,027;0,087;357,87;121,559;0,134;;;;0,000;;0;0,027;0,134;233,828;0,201;0,020;0,221;338,87;55,254;0,044;0,004;0,004;;;0,018;0,048;289,082;0,245;0,024;0,269;2,05;0,177;971;172;301,76;0,135;0,509;0,644;-0,141;1,7;24;0;0,147;0,0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;;;;;;;;;;;;;;
9;8:00;04;2015;4,5;14;11;1,8;360,29;112,202;-0,067;;;0,020;0,020;;0;0,012;-0,047;357,88;121,626;0,067;;;;0,000;;0;0,012;0,067;233,828;0,000;0,020;0,020;338,88;55,297;0,043;0,004;0,004;;;0,008;0,047;289,125;0,043;0,024;0,067;1,85;0,161;924;149;301,77;0,136;0,411;0,547;-0,097;1,5;24;0;0,131;0,0;24;0;0,000;0,35;24;0;0,030;0;0,161;;;;;;;;;;;;;;;;
10;8:00;04;2015;1;14;11;2,6;360,29;112,202;0,000;;;0,020;0,020;;0;0,017;0,020;357,89;121,692;0,066;;;;0,000;;0;0,017;0,066;233,894;0,066;0,020;0,086;338,89;55,341;0,044;0,004;0,004;;;0,011;0,048;289,235;0,110;0,024;0,134;1,85;0,160;936;150;301,78;0,137;0,278;0,415;-0,132;1,5;24;0;0,130;0,0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;;;;;;;;;;;;;;
11;8:00;04;2015;;17;11;3,8;360,28;112,136;-0,066;0:05;10,0;0,020;0,023;;0;0,025;-0,043;357,90;121,759;0,067;;;;0,162;;0;0,025;0,229;233,895;0,001;0,185;0,186;338,90;55,384;0,043;0,004;0,004;;;0,016;0,047;289,279;0,044;0,189;0,233;1,85;0,160;;0;;;;;;1,5;24;0;0,130;0,0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;;;;;;;;;;;;;;
12;8:00;04;2015;1,5;17;11;1,0;360,28;112,136;0,000;;;0,020;0,020;;0;0,007;0,020;357,90;121,759;0,000;;;;0,162;;0;0,007;0,162;233,895;0,000;0,182;0,182;338,91;55,428;0,044;0,004;0,004;;;0,004;0,048;289,323;0,044;0,186;0,230;1,85;0,160;;0;;;;;;1,5;24;0;0,130;0,0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;;;;;;;;;;;;;;
13;8:00;04;2015;;18;12;3,0;360,28;112,136;0,000;;;0,020;0,020;;0;0,020;0,020;357,91;121,826;0,067;;;;0,162;;0;0,020;0,229;233,962;0,067;0,182;0,249;338,92;55,471;0,043;0,004;0,004;;;0,013;0,047;289,433;0,110;0,186;0,296;1,85;0,160;1041;166;301,42;0,101;0,364;0,465;#ÁVALOR!;1,5;24;0;0,130;0,0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;;;;;;;;;;;;;;
14;8:00;04;2015;;21;12;4,2;360,28;112,136;0,000;;;0,020;0,020;;0;0,028;0,020;357,90;121,759;-0,067;;;;0,162;;0;0,028;0,095;233,895;-0,067;0,182;0,115;338,92;55,471;0,000;0,004;0,004;;;0,018;0,004;289,366;-0,067;0,186;0,119;2,05;0,175;995;174;301,26;0,085;0,430;0,515;0,050;1,7;24;0;0,145;0,0;24;0;0,000;0,35;24;0;0,030;0;0,175;;;;;;;;;;;;;;;;
15;8:00;04;2015;0,2;22;13;6,0;360,28;112,136;0,000;;;0,020;0,020;2024;40;0,040;0,020;357,90;121,759;0,000;;;;0,000;;0;0,040;0,000;233,895;0,000;0,020;0,020;338,92;55,471;0,000;0,004;0,004;;;0,026;0,004;289,366;0,000;0,024;0,024;2,05;0,177;971;172;301,20;0,079;0,325;0,404;-0,111;1,7;24;0;0,147;0,0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;;;;;;;;;;;;;;
16;8:00;04;2015;1,6;18;13;2,9;360,29;112,202;0,066;;;0,020;0,020;;0;0,019;0,086;357,91;121,826;0,067;;;;0,000;;0;0,01943;0,067;234,028;0,133;0,020;0,153;338,94;55,558;0,087;0,004;0,004;;;0,013;0,091;289,586;0,220;0,024;0,244;2,05;0,177;983;174;301,19;0,078;0,200;0,278;-0,126;1,7;24;0;0,147;0,0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;;;;;;;;;;;;;;
17;8:00;04;2015;;20;11;2,5;360,29;112,202;0,000;;;0,020;0,020;;0;0,017;0,020;357,90;121,759;-0,067;;;;0,162;;0;0,01675;0,095;233,961;-0,067;0,182;0,115;338,95;55,602;0,044;0,004;0,004;;;0,011;0,048;289,563;-0,023;0,186;0,163;1,85;0,162;983;159;301,18;0,077;0,250;0,327;0,049;1,5;24;0;0,132;0,0;24;0;0,000;0,35;24;0;0,030;0;0,162;;;;;;;;;;;;;;;;
18;8:00;04;2015;;22;11;4,2;360,29;112,202;0,000;;;0,020;0,020;;0;0,028;0,020;357,88;121,626;-0,133;;;;0,162;;0;0,028;0,029;233,828;-0,133;0,182;0,049;338,95;55,602;0,000;0,004;0,004;;;0,018;0,004;289,430;-0,133;0,186;0,053;1,85;0,160;;0;;;;;;1,5;24;0;0,130;0,0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;;;;;;;;;;;;;;
19;8:00;04;2015;;22;11;3,0;360,30;112,269;0,067;;;0,020;0,020;;0;0,020;0,087;357,87;121,559;-0,067;;;;0,162;;0;0,020;0,095;233,828;0,000;0,182;0,182;338,95;55,602;0,000;0,004;0,004;;;0,013;0,004;289,430;0,000;0,186;0,186;1,85;0,160;;0;;;;;;1,5;24;0;0,130;0,0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;;;;;;;;;;;;;;
20;8:00;04;2015;;21;9;4,6;360,30;112,269;0,000;;;0,020;0,020;;0;0,031;0,020;357,86;121,492;-0,067;;;;0,162;;0;0,031;0,095;233,761;-0,067;0,182;0,115;338,96;55,645;0,043;0,004;0,004;;;0,020;0,047;289,406;-0,024;0,186;0,162;1,85;0,160;878;140;301,22;0,081;0,495;0,576;#ÁVALOR!;1,5;24;0;0,130;0,0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;;;;;;;;;;;;;;
21;8:00;04;2015;;20;9;5,8;360,29;112,202;-0,067;;;0,020;0,020;;0;0,039;-0,047;357,83;121,291;-0,201;;;;0,162;;0;0,039;-0,039;233,493;-0,268;0,182;-0,086;338,97;55,689;0,044;0,004;0,004;;;0,026;0,048;289,182;-0,224;0,186;-0,038;2,05;0,176;842;149;301,18;0,077;0,466;0,543;-0,033;1,5;24;0;0,130;0,2;23;0;0,017;0,35;24;0;0,030;0;0,176;;;;;;;;;;;;;;;;
22;8:00;04;2015;;21;10;6,2;360,29;112,202;0,000;;;0,020;0,020;;0;0,041;0,020;357,83;121,291;0,000;;;;0,000;;0;0,041;0,000;233,493;0,000;0,020;0,020;338,97;55,689;0,000;0,004;0,004;;;0,027;0,004;289,182;0,000;0,024;0,024;2,35;0,198;831;165;301,20;0,079;0,292;0,371;-0,172;1,6;18;0;0,136;0,4;24;0;0,032;0,35;24;0;0,030;0;0,198;;;;;;;;;;;;;;;;
23;8:00;04;2015;;23;11;3,3;360,29;112,202;0,000;;;0,020;0,020;;0;0,022;0,020;357,84;121,358;0,067;0:07;16;;0,007;;0;0,022;0,074;233,560;0,067;0,027;0,094;338,97;55,689;0,000;0,004;0,004;;;0,015;0,004;289,249;0,067;0,031;0,098;2,75;0,235;842;198;301,22;0,081;0,123;0,204;-0,167;1,9;24;0;0,163;0,5;24;0;0,042;0,35;24;0;0,030;0;0,235;;;;;;;;;;;;;;;;
24;8:00;04;2015;;24;12;4,5;360,27;112,070;-0,132;3:00;;0,020;0,117;;0;0,030;-0,015;357,79;121,025;-0,333;;;;0,324;;0;0,030;-0,009;233,095;-0,465;0,441;-0,024;338,97;55,689;0,000;0,004;0,004;;;0,020;0,004;288,784;-0,465;0,445;-0,020;3,75;0,320;842;270;301,31;0,090;0,297;0,387;0,183;1,9;24;0;0,164;1,5;23;0;0,126;0,35;24;0;0,030;0;0,320;;;;;;;;;;;;;;;;
25;8:00;04;2015;;23;12;2,6;360,27;112,070;0,000;;;0,020;0,020;;0;0,017;0,020;357,78;120,958;-0,067;;;;0,097;;0;0,017;0,030;233,028;-0,067;0,117;0,050;338,97;55,689;0,000;0,004;0,004;;;0,011;0,004;288,717;-0,067;0,121;0,054;3,55;0,307;;0;;;;;;1,9;24;0;0,164;1,3;23;0;0,113;0,35;24;0;0,030;0;0,307;;;;;;;;;;;;;;;;
26;8:00;04;2015;0,4;20;13;2,6;360,27;112,070;0,000;;;0,020;0,020;;0;0,017;0,020;357,77;120,891;-0,067;;;;0,097;;0;0,017;0,030;232,961;-0,067;0,117;0,050;338,94;55,558;-0,131;0,004;0,191;;;0,011;0,060;288,519;-0,198;0,308;0,110;3,55;0,307;;0;;;;;;1,9;24;0;0,164;1,3;24;0;0,112;0,35;24;0;0,030;0;0,307;;;;;;;;;;;;;;;;
27;8:00;04;2015;13,5;18;12;1,4;360,28;112,136;0,066;;;0,020;0,020;;0;0,009;0,086;357,76;120,825;-0,066;;;;0,097;;0;0,009;0,031;232,961;0,000;0,117;0,117;338,92;55,471;-0,087;0,004;0,191;;;0,006;0,104;288,432;-0,087;0,308;0,221;3,55;0,307;772;237;301,27;0,086;0,382;0,468;#ÁVALOR!;1,9;24;0;0,164;1,3;24;0;0,112;0,35;24;0;0,030;0;0,307;;;;;;;;;;;;;;;;
28;8:00;04;2015;0,2;18;10;1,7;360,27;112,070;-0,066;2:00;;0,020;0,085;;0;0,011;0,019;357,72;120,559;-0,266;11:30;;;0,340;;0;0,011;0,074;232,629;-0,332;0,425;0,093;338,92;55,471;0,000;0,004;0,006;;;0,007;0,006;288,100;-0,332;0,431;0,099;3,55;0,307;714;219;301,66;0,125;0,551;0,676;0,208;1,9;24;0;0,164;1,3;24;0;0,112;0,35;24;0;0,030;0;0,307;;;;;;;;;;;;;;;;
29;8:00;04;2015;;22;10;4,3;360,27;112,070;0,000;2:00;;0,020;0,085;;0;0,029;0,085;357,71;120,492;-0,067;4:00;;;0,130;;0;0,029;0,063;232,562;-0,067;0,215;0,148;338,92;55,471;0,000;0,004;0,004;;;0,018;0,004;288,033;-0,067;0,219;0,152;4,05;0,345;702;242;301,26;0,085;0,376;0,461;-0,215;2,4;21;0;0,202;1,3;24;0;0,112;0,35;24;0;0,030;0;0,345;;;;;;;;;;;;;;;;
30;8:00;04;2015;;23;12;5,4;360,26;112,003;-0,067;2:00;;0,020;0,085;;0;0,036;0,018;357,68;120,293;-0,199;7:00;;;0,227;;0;0,036;0,028;232,296;-0,266;0,312;0,046;338,92;55,471;0,000;0,004;0,004;;;0,023;0,004;287,767;-0,266;0,316;0,050;4,05;0,350;796;279;301,82;0,145;0,480;0,625;0,164;2,4;24;0;0,207;1,3;24;0;0,112;0,35;24;0;0,030;0;0,350;;;;;;;;;;;;;;;;
1;8:00;05;2015;;25;13;4,8;360,23;111,804;-0,199;2.00;;0,020;0,085;;0;0,032;-0,114;357,68;120,293;0,000;4:00;;;0,130;;0;0,032;0,130;232,097;-0,199;0,215;0,016;338,92;55,471;0,000;0,004;0,004;;;0,021;0,004;287,568;-0,199;0,219;0,020;4,05;0,350;;0;;;;;;2,4;24;0;0,207;1,3;24;0;0,112;0,35;24;0;0,030;0;0,350;;;;;;;;;;;;;;;;
2;8:00;05;2015;;28;13;3,5;360,22;111,738;-0,066;3:00;;0,020;0,117;;0;0,023;0,051;357,69;120,360;0,067;;;;0,000;;0;0,023;0,067;232,098;0,001;0,117;0,118;338,90;55,384;-0,087;0,004;0,135;;;0,015;0,048;287,482;-0,086;0,252;0,166;4,05;0,350;;0;;;;;;2,4;24;0;0,207;1,3;24;0;0,112;0,35;24;0;0,030;0;0,350;;;;;;;;;;;;;;;;
3;8:00;05;2015;;30;14;8,3;360,20;111,606;-0,132;3:00;;0,020;0,117;2165;253;0,055;-0,015;357,69;120,360;0,000;;;;0,000;;0;0,056;0,000;231,966;-0,132;0,117;-0,015;338,85;55,167;-0,217;0,004;0,179;;;0,036;-0,038;287,133;-0,349;0,296;-0,053;4,05;0,345;;0;;;;;;2,4;24;0;0,207;1,3;23;0;0,108;0,35;24;0;0,030;0;0,345;;;;;;;;;;;;;;;;
4;8:00;05;2015;;28;16;5,0;360,18;111,474;-0,132;3:00;;0,020;0,117;2176;255;0,033;-0,015;357,70;120,426;0,066;;;;0,000;;0;0,033;0,066;231,900;-0,066;0,117;0,051;338,81;54,994;-0,173;0,004;0,178;;;0,022;0,005;286,894;-0,239;0,295;0,056;4,05;0,350;796;279;301,79;0,139;0,497;0,636;#ÁVALOR!;2,4;24;0;0,207;1,3;24;0;0,112;0,35;24;0;0,030;0;0,350;;;;;;;;;;;;;;;;
