Dia;Hora;Mes;Anyo;Lluvia;Temperatura_Max;Temperatura_Min;Evaporacion;Cota_guadalhorce;Volumen_embalsado_guadalhorce;Variacion_volumen_guadalhorce;Tiempo_desembalse_guadalhorce;Caudal_desembalse_guadalhorce;Filtracion_guadalhorce;Volumen_desembalse_guadalhorce;Salinidad_guadalhorce;Toneladas_sal_guadalhorce;Volumen_evaporado_guadalhorce;Aportacion_aparente_guadalhorce;Cota_guadalteba;Volumen_embalsado_guadalteba;Variacion_volumen_guadalteba;Tiempo_desembalse_guadalteba;Caudal_desembalse_guadalteba;Filtraciones_guadalteba;Volumen_desembalse_guadalteba;Salinidad_guadalteba;Toneladas_sal_guadalteba;Volumen_evaporado_guadalteba;Aportacion_aparente_guadalteba;Volumen_total_guadalhorce_guadalteba;Variacion_total_guadalhorce_guadalteba;Desembalse_total_guadalhorce_guadalteba;Aportacion_aparente_total_guadalhorce_guadalteba;Cota_conde;Volumen_embalsado_conde;Variacion_volumen_conde;Filtraciones_conde;Volumen_desembalse_conde;Salinidad_conde;Toneladas_sal_conde;Volumen_evaporado_conde;Aportacion_aparente_conde;Volumen_total_guadalhorce_guadalteba_conde;Variacion_total_guadalhorce_guadalteba_conde;Desembalse_total_guadalhorce_guadalteba_conde;Aportacion_aparente_total_guadalhorce_guadalteba_conde;Caudal_total_demandas;Volumen_total_demandas;Salinidad_mezcla;Toneladas_sal_mezcla;Cota_gaitanejo;Volumen_gaitanejo;Volumen_central-reversible_tajo;Volumen_total_gaitanejo_tajo;Variacion_total_gaitanejo_tajo;Caudal_abastencimiento;Horas_abastecimiento;Min_abastecimiento;Volumen_abasteciemiento;Caudal_riego;Horas_riego;Min_riego;Volumen_riego;Caudal_ecologico;Horas_ecologico;Min_ecologico;Volumen_ecologico;Agua_sobrante;Total_volumen_abastecido;Aportacion_guadalhorce_tajo;Aportacion_arroyos_tajo;Total_aportacion
1;8:00;01;2018;;14;6;0,9;349,44;55,190;0,000;02:30;11;0,020;0,118;;0;0,004;0,118;340,56;38,886;0,032;;;;0,000;;0;0,003;0,032;94,076;0,032;0,118;0,150;328,76;20,443;0,026;0,004;0,036;;;0,002;0,062;114,519;0,058;0,154;0,212;1,75;0,151;;0;;;;;;1,4;24;0;0,121;0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;
2;8:00;01;2018;;14;4;1,7;349,45;55,232;0,042;;;0,020;0,020;;0;0,007;0,062;340,56;38,886;0,000;;;;0,000;;0;0,005;0,000;94,118;0,042;0,020;0,062;328,77;20,469;0,026;0,004;0,004;;;0,004;0,030;114,587;0,068;0,024;0,092;1,75;0,151;;0;301,92;0,158;0,233;0,391;#ÁVALOR!;1,4;24;0;0,121;0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;
3;8:00;01;2018;;13;4;0,9;349,45;55,232;0,000;02:00;11;0,020;0,097;;0;0,004;0,097;340,58;38,951;0,065;;;;0,000;;0;0,003;0,065;94,183;0,065;0,097;0,162;328,78;20,496;0,027;0,004;0,036;;;0,002;0,063;114,679;0,092;0,133;0,225;1,75;0,151;;0;301,93;0,159;0,317;0,476;0,085;1,4;24;0;0,121;0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;
4;8:00;01;2018;;14;8;1,2;349,44;55,190;-0,042;02:00;11;0,020;0,100;;0;0,005;0,058;340,59;38,983;0,032;;;;0,000;;0;0,004;0,032;94,173;-0,010;0,100;0,090;328,78;20,496;0,000;0,004;0,036;;;0,003;0,036;114,669;-0,010;0,136;0,126;1,75;0,151;;0;301,93;0,159;0,257;0,416;-0,060;1,4;24;0;0,121;0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;
5;8:00;01;2018;;12;8;0,9;349,44;55,190;0,000;02:00;11;0,020;0,100;;0;0,004;0,100;340,60;39,016;0,033;;;;0,000;;0;0,003;0,033;94,206;0,033;0,100;0,133;328,80;20,548;0,052;0,004;0,004;;;0,002;0,056;114,754;0,085;0,104;0,189;1,75;0,151;;0;301,93;0,159;0,228;0,387;-0,029;1,4;24;0;0,121;0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;
6;8:00;01;2018;8,7;15;9;0,2;349,45;55,232;0,042;01:30;11;0,020;0,080;;0;0,001;0,122;340,62;39,080;0,064;;;;0,000;;0;0,001;0,064;94,312;0,106;0,080;0,186;328,81;20,575;0,027;0,004;0,036;;;0,001;0,063;114,887;0,133;0,116;0,249;1,75;0,151;;0;;;;;;1,4;24;0;0,121;0;24;0;0,000;0,35;24;0;0,030;0,07;0,221;;;
7;8:00;01;2018;10,7;9;1;2,5;349,58;55,772;0,540;01:30;11;0,020;0,080;;0;0,010;0,620;340,69;39,307;0,227;;;;0,000;;0;0,008;0,227;95,079;0,767;0,080;0,847;328,83;20,628;0,053;0,004;0,036;;;0,007;0,089;115,707;0,820;0,116;0,936;1,75;0,151;;0;;;;;;1,4;24;0;0,121;0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;
8;8:00;01;2018;0,4;7;1;0,9;349,62;55,939;0,167;01:30;11;0,020;0,079;;0;0,004;0,246;340,72;39,405;0,098;;;;0,000;;0;0,003;0,098;95,344;0,265;0,079;0,344;328,82;20,601;-0,027;0,004;0,036;;;0,002;0,009;115,945;0,238;0,115;0,353;1,75;0,151;;0;301,93;0,159;0,350;0,509;#ÁVALOR!;1,4;24;0;0,121;0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;
9;8:00;01;2018;14;6;1;1,0;349,66;56,106;0,167;02:00;11;0,020;0,100;3253;325;0,004;0,267;340,77;39,568;0,163;;;;0,000;;0;0,003;0,163;95,674;0,330;0,100;0,430;328,87;20,734;0,133;0,004;0,004;;;0,003;0,137;116,408;0,463;0,104;0,567;1,75;0,151;;0;301,93;0,159;0,280;0,439;-0,070;1,4;24;0;0,121;0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;
10;8:00;01;2018;1,8;11;4;0,3;349,69;56,231;0,125;02:00;11;0,020;0,099;;0;0,001;0,224;340,80;39,665;0,097;;;;0,000;;0;0,001;0,097;95,896;0,222;0,099;0,321;328,89;20,787;0,053;0,004;0,036;;;0,001;0,089;116,683;0,275;0,135;0,410;1,75;0,151;;0;301,93;0,159;0,310;0,469;0,030;1,4;24;0;0,121;0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;
11;8:00;01;2018;;14;5;2,2;349,72;56,357;0,126;;;0,020;0,020;3218;64;0,009;0,146;340,84;39,796;0,131;;;;0,000;;0;0,007;0,131;96,153;0,257;0,020;0,277;328,93;20,893;0,106;0,004;0,004;;;0,006;0,110;117,046;0,363;0,024;0,387;1,75;0,151;;0;301,93;0,159;0,268;0,427;-0,042;1,4;24;0;0,121;0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;
12;8:00;01;2018;;12;4;0,6;349,72;56,357;0,000;02:00;11;0,020;0,099;;0;0,003;0,099;340,88;39,926;0,130;;;;0,000;;0;0,002;0,130;96,283;0,130;0,099;0,229;328,98;21,027;0,134;0,004;0,004;;;0,002;0,138;117,310;0,264;0,103;0,367;1,75;0,151;;0;301,94;0,160;0,256;0,416;-0,011;1,4;24;0;0,121;0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;
13;8:00;01;2018;;13;3;1,7;349,72;56,357;0,000;01:30;11;0,020;0,079;;0;0,007;0,079;340,90;39,992;0,066;;;;0,000;;0;0,006;0,066;96,349;0,066;0,079;0,145;329,01;21,107;0,080;0,004;0,036;;;0,005;0,116;117,456;0,146;0,115;0,261;1,75;0,151;;0;;;;;;1,4;24;0;0,121;0;24;0;0,000;0,35;24;0;0,030;0,06;0,211;;;
14;8:00;01;2018;0,4;10;4;1,7;349,73;56,399;0,042;01:30;11;0,020;0,080;;0;0,007;0,122;340,94;40,123;0,131;;;;0,000;;0;0,006;0,131;96,522;0,173;0,080;0,253;329,03;21,161;0,054;0,004;0,036;;;0,005;0,090;117,683;0,227;0,116;0,343;1,75;0,151;;0;;;;;;1,4;24;0;0,121;0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;
15;8:00;01;2018;2,5;8;3;0,7;349,74;56,441;0,042;01:30;11;0,020;0,080;3194;256;0,003;0,122;340,98;40,254;0,131;;;;0,000;;0;0,002;0,131;96,695;0,173;0,080;0,253;329,05;21,215;0,054;0,004;0,036;;;0,002;0,090;117,910;0,227;0,116;0,343;1,75;0,151;1895;287;301,93;0,159;0,287;0,446;#ÁVALOR!;1,4;24;0;0,121;0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;
16;8:00;01;2018;;9;1;1,7;349,76;56,525;0,084;01:30;11;0,020;0,080;3136;251;0,007;0,164;341,00;40,320;0,066;;;;0,000;;0;0,00561;0,066;96,845;0,150;0,080;0,230;329,06;21,242;0,027;0,004;0,036;;;0,005;0,063;118,087;0,177;0,116;0,293;1,65;0,143;;0;301,88;0,153;0,299;0,452;0,006;1,3;24;0;0,112;0;24;0;0,000;0,35;24;0;0,030;0;0,143;;;
17;8:00;01;2018;;13;1;1,3;349,76;56,525;0,000;02:00;11;0,020;0,103;;0;0,005;0,103;341,02;40,385;0,065;;;;0,000;;0;0,004;0,065;96,910;0,065;0,103;0,168;329,08;21,296;0,054;0,004;0,004;;;0,004;0,058;118,206;0,119;0,107;0,226;1,55;0,134;;0;301,85;0,148;0,285;0,433;-0,019;1,2;24;0;0,104;0;24;0;0,000;0,35;24;0;0,030;0;0,134;;;
