Dia;Hora;Mes;Anyo;Lluvia;Temperatura_Max;Temperatura_Min;Evaporacion;Cota_guadalhorce;Volumen_embalsado_guadalhorce;Variacion_volumen_guadalhorce;Tiempo_desembalse_guadalhorce;Caudal_desembalse_guadalhorce;Filtracion_guadalhorce;Volumen_desembalse_guadalhorce;Salinidad_guadalhorce;Toneladas_sal_guadalhorce;Volumen_evaporado_guadalhorce;Aportacion_aparente_guadalhorce;Cota_guadalteba;Volumen_embalsado_guadalteba;Variacion_volumen_guadalteba;Tiempo_desembalse_guadalteba;Caudal_desembalse_guadalteba;Filtraciones_guadalteba;Volumen_desembalse_guadalteba;Salinidad_guadalteba;Toneladas_sal_guadalteba;Volumen_evaporado_guadalteba;Aportacion_aparente_guadalteba;Volumen_total_guadalhorce_guadalteba;Variacion_total_guadalhorce_guadalteba;Desembalse_total_guadalhorce_guadalteba;Aportacion_aparente_total_guadalhorce_guadalteba;Cota_conde;Volumen_embalsado_conde;Variacion_volumen_conde;Filtraciones_conde;Volumen_desembalse_conde;Salinidad_conde;Toneladas_sal_conde;Volumen_evaporado_conde;Aportacion_aparente_conde;Volumen_total_guadalhorce_guadalteba_conde;Variacion_total_guadalhorce_guadalteba_conde;Desembalse_total_guadalhorce_guadalteba_conde;Aportacion_aparente_total_guadalhorce_guadalteba_conde;Caudal_total_demandas;Volumen_total_demandas;Salinidad_mezcla;Toneladas_sal_mezcla;Cota_gaitanejo;Volumen_gaitanejo;Volumen_central-reversible_tajo;Volumen_total_gaitanejo_tajo;Variacion_total_gaitanejo_tajo;Caudal_abastencimiento;Horas_abastecimiento;Min_abastecimiento;Volumen_abasteciemiento;Caudal_riego;Horas_riego;Min_riego;Volumen_riego;Caudal_ecologico;Horas_ecologico;Min_ecologico;Volumen_ecologico;Agua_sobrante;Total_volumen_abastecido;Aportacion_guadalhorce_tajo;Aportacion_arroyos_tajo;Total_aportacion
1;8:00;01;2019;;14;7;1,7;361,29;118,994;0,069;;;0,020;0,020;;0;0,012;0,089;361,29;145,954;0,075;;;;0,000;;0;0,013;0,075;264,948;0,144;0,020;0,164;339,14;56,434;0,000;0,004;0,004;;;0,007;0,004;321,382;0,144;0,024;0,168;1,05;0,091;;0;302,00;0,160;;0,160;0,160;0,7;24;0;0,060;0;24;0;0,000;0,35;24;0;0,030;0;0,091;;;
2;8:00;01;2019;;17;3;2,5;361,30;119,063;0,069;;;0,020;0,020;;0;0,017;0,089;361,30;146,029;0,075;;;;0,000;;0;0,019;0,075;265,092;0,144;0,020;0,164;339,15;56,478;0,044;0,004;0,004;;;0,011;0,048;321,570;0,188;0,024;0,212;1,05;0,091;;0;302,00;0,160;-0,246;-0,086;-0,246;0,7;24;0;0,060;0;24;0;0,000;0,35;24;0;0,030;0;0,091;;;
3;8:00;01;2019;;11;3;2,0;361,31;119,133;0,070;;;0,020;0,020;1697;34;0,014;0,090;361,31;146,103;0,074;;;;0,000;;0;0,015;0,074;265,236;0,144;0,020;0,164;339,16;56,522;0,044;0,004;0,004;;;0,009;0,048;321,758;0,188;0,024;0,212;1,15;0,099;;0;302,00;0,160;-0,210;-0,050;0,036;0,8;24;0;0,069;0;24;0;0,000;0,35;24;0;0,030;0;0,099;;;
4;8:00;01;2019;;16;3;1,4;361,32;119,202;0,069;;;0,020;0,020;;0;0,010;0,089;361,32;146,178;0,075;;;;0,000;;0;0,011;0,075;265,380;0,144;0,020;0,164;339,16;56,522;0,000;0,004;0,004;;;0,006;0,004;321,902;0,144;0,024;0,168;1,15;0,099;;0;302,00;0,160;-0,299;-0,139;-0,089;0,8;24;0;0,069;0;24;0;0,000;0,35;24;0;0,030;0;0,099;;;
5;8:00;01;2019;;14;2;1,3;361,33;119,272;0,070;;;0,020;0,020;;0;0,009;0,090;361,33;146,253;0,075;;;;0,000;;0;0,010;0,075;265,525;0,145;0,020;0,165;339,17;56,566;0,044;0,004;0,004;;;0,006;0,048;322,091;0,189;0,024;0,213;1,85;0,160;;0;302,00;0,160;;0,160;0,299;1,5;24;0;0,130;0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;
6;8:00;01;2019;;13;1;0,6;361,34;119,341;0,069;;;0,020;0,020;;0;0,004;0,089;361,34;146,328;0,075;;;;0,000;;0;0,005;0,075;265,669;0,144;0,020;0,164;339,18;56,610;0,044;0,004;0,004;;;0,003;0,048;322,279;0,188;0,024;0,212;1,85;0,160;;0;302,00;0,160;;0,160;0,000;1,5;24;0;0,130;0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;
7;8:00;01;2019;;15;0;1,5;361,35;119,411;0,070;;;0,020;0,020;;0;0,010;0,090;361,35;146,403;0,075;;;;0,000;;0;0,011;0,075;265,814;0,145;0,020;0,165;339,18;56,610;0,000;0,004;0,004;;;0,007;0,004;322,424;0,145;0,024;0,169;1,85;0,160;;0;302,00;0,160;;0,160;0,000;1,5;24;0;0,130;0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;
8;8:00;01;2019;;14;1;0,3;361,36;119,480;0,069;;;0,020;0,020;;0;0,002;0,089;361,36;146,478;0,075;;;;0,000;;0;0,002;0,075;265,958;0,144;0,020;0,164;339,19;56,654;0,044;0,004;0,004;;;0,001;0,048;322,612;0,188;0,024;0,212;1,85;0,160;;0;302,00;0,160;-0,700;-0,540;-0,700;1,5;24;0;0,130;0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;
9;8:00;01;2019;;14;3;1,2;361,37;119,550;0,070;;;0,020;0,020;;0;0,008;0,090;361,37;146,553;0,075;;;;0,000;;0;0,009;0,075;266,103;0,145;0,020;0,165;339,19;56,654;0,000;0,004;0,004;;;0,005;0,004;322,757;0,145;0,024;0,169;1,80;0,156;;0;302,00;0,160;-0,861;-0,701;-0,161;1,5;24;0;0,125;0;24;0;0,000;0,35;24;0;0,030;0;0,156;;;
10;8:00;01;2019;;15;3;2,1;361,38;119,620;0,070;;;0,020;0,020;;0;0,015;0,090;361,38;146,628;0,075;;;;0,000;;0;0,016;0,075;266,248;0,145;0,020;0,165;339,20;56,698;0,044;0,004;0,004;;;0,009;0,048;322,946;0,189;0,024;0,213;1,85;0,160;;0;302,00;0,160;-1,000;-0,840;-0,139;1,5;24;0;0,130;0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;
11;8:00;01;2019;;13;2;2,0;361,38;119,620;0,000;;;0,020;0,020;1520;30;0,014;0,020;361,38;146,628;0,000;;;;0,000;;0;0,015;0,000;266,248;0,000;0,020;0,020;339,20;56,698;0,000;0,004;0,004;;;0,009;0,004;322,946;0,000;0,024;0,024;2,35;0,203;;0;302,00;0,160;-1,095;-0,935;-0,095;2,0;24;0;0,173;0;24;0;0,000;0,35;24;0;0,030;0;0,203;;;
12;8:00;01;2019;;11;2;2,0;361,38;119,620;0,000;;;0,020;0,020;;0;0,014;0,020;361,38;146,628;0,000;;;;0,000;;0;0,015;0,000;266,248;0,000;0,020;0,020;339,21;56,742;0,044;0,004;0,004;;;0,009;0,048;322,990;0,044;0,024;0,068;2,35;0,203;;0;;;;;;2,0;24;0;0,173;0;24;0;0,000;0,35;24;0;0,030;0;0,203;;;
13;8:00;01;2019;;13;1;0,2;361,38;119,620;0,000;;;0,020;0,020;;0;0,001;0,020;361,38;146,628;0,000;;;;0,000;;0;0,001;0,000;266,248;0,000;0,020;0,020;339,22;56,787;0,045;0,004;0,004;;;0,001;0,049;323,035;0,045;0,024;0,069;2,35;0,203;;0;;;;;;2,0;24;0;0,173;0;24;0;0,000;0,35;24;0;0,030;0;0,203;;;
14;8:00;01;2019;;14;1;1,9;361,39;119,689;0,069;;;0,020;0,020;;0;0,013;0,089;361,39;146,703;0,075;;;;0,000;;0;0,014;0,075;266,392;0,144;0,020;0,164;339,22;56,787;0,000;0,004;0,004;;;0,009;0,004;323,179;0,144;0,024;0,168;2,35;0,203;;0;302,00;0,160;-1,581;-1,421;#ÁVALOR!;2,0;24;0;0,173;0;24;0;0,000;0,35;24;0;0,030;0;0,203;;;
15;8:00;01;2019;;10;2;2,2;361,40;119,759;0,070;;;0,020;0,020;;0;0,015;0,090;361,40;146,778;0,075;;;;0,000;;0;0,017;0,075;266,537;0,145;0,020;0,165;339,22;56,787;0,000;0,004;0,004;;;0,010;0,004;323,324;0,145;0,024;0,169;2,35;0,203;;0;302,00;0,160;-1,775;-1,615;-0,194;2,0;24;0;0,173;0;24;0;0,000;0,35;24;0;0,030;0;0,203;;;
16;8:00;01;2019;;12;4;0,7;361,41;119,829;0,070;;;0,020;0,020;1357;27;0,005;0,090;361,41;146,853;0,075;;;;0,000;;0;0,00525;0,075;266,682;0,145;0,020;0,165;339,22;56,787;0,000;0,004;0,004;;;0,003;0,004;323,469;0,145;0,024;0,169;2,35;0,203;;0;302,00;0,160;-1,919;-1,759;-0,144;2,0;24;0;0,173;0;24;0;0,000;0,35;24;0;0,030;0;0,203;;;
17;8:00;01;2019;;13;6;0,8;361,42;119,899;0,070;04:30;15;0,020;0,270;;0;0,006;0,340;361,42;146,929;0,076;;;;0,000;;0;0,006;0,076;266,828;0,146;0,270;0,416;339,22;56,787;0,000;0,004;0,004;;;0,004;0,004;323,615;0,146;0,274;0,420;2,15;0,186;;0;302,00;0,160;-1,912;-1,752;0,007;1,8;24;0;0,156;0;24;0;0,000;0,35;24;0;0,030;0;0,186;;;
18;8:00;01;2019;;12;4;1,3;361,42;119,899;0,000;04:00;15;0,020;0,220;;0;0,009;0,220;361,42;146,929;0,000;;;;0,000;;0;0,010;0,000;266,828;0,000;0,220;0,220;339,23;56,831;0,044;0,004;0,004;;;0,006;0,048;323,659;0,044;0,224;0,268;1,85;0,160;;;302,00;0,160;-1,864;-1,704;0,048;1,5;24;0;0,130;0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;
19;8:00;01;2019;0,1;11;3;0,5;361,40;119,759;-0,140;05:30;25;0,020;0,520;1357;706;0,003;0,380;361,40;146,778;-0,151;;;;0,000;;0;0,004;-0,151;266,537;-0,291;0,520;0,229;339,23;56,831;0,000;0,004;0,004;;;0,002;0,004;323,368;-0,291;0,524;0,233;1,85;0,160;;;;;;;;1,5;24;0;0,130;0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;
20;8:00;01;2019;6,8;11;7;0,3;361,43;119,969;0,210;;;0,020;0,020;;0;0,002;0,230;361,43;147,004;0,226;;;;0,000;;0;0,002;0,226;266,973;0,436;0,020;0,456;339,24;56,875;0,044;0,004;0,004;;;0,001;0,048;323,848;0,480;0,024;0,504;1,85;0,160;;0;;;;;;1,5;24;0;0,130;0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;
21;8:00;01;2019;0,1;11;4;0,2;361,44;120,038;0,069;;;0,020;0,020;;0;0,001;0,089;361,44;147,079;0,075;;;;0,000;;0;0,002;0,075;267,117;0,144;0,020;0,164;339,25;56,919;0,044;0,004;0,004;;;0,001;0,048;324,036;0,188;0,024;0,212;1,85;0,160;;0;302,00;0,160;-1,830;-1,670;#ÁVALOR!;1,5;24;0;0,130;0;24;0;0,000;0,35;24;0;0,030;0;0,160;;;
22;8:00;01;2019;;11;2;0,8;361,44;120,038;0,000;00:40;;0,020;0,106;1544;164;0,006;0,106;361,44;147,079;0,000;;;;0,000;246;0;0,006;0,000;267,117;0,000;0,106;0,106;339,25;56,919;0,000;0,004;0,004;;;0,004;0,004;324,036;0,000;0,110;0,110;1,05;0,091;;0;302,00;0,160;-2,040;-1,880;-0,210;0,7;24;0;0,060;0;24;0;0,000;0,35;24;0;0,030;0,069;0,160;;;
23;8:00;01;2019;;10;2;1,8;361,42;119,899;-0,139;;;0,020;0,020;;0;0,013;-0,119;361,42;146,929;-0,150;03:30;25;;0,315;;0;0,014;0,165;266,828;-0,289;0,335;0,046;339,26;56,964;0,045;0,004;0,004;;;0,008;0,049;323,792;-0,244;0,339;0,095;2,05;0,177;;0;302,00;0,160;-1,813;-1,653;0,227;1,7;24;0;0,147;0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;
24;8:00;01;2019;;12;9;0,4;361,40;119,759;-0,140;;;0,020;0,020;;0;0,003;-0,120;361,40;146,778;-0,151;03:30;25;;0,315;;0;0,003;0,164;266,537;-0,291;0,335;0,044;339,26;56,964;0,000;0,004;0,004;;;0,002;0,004;323,501;-0,291;0,339;0,048;2,05;0,177;;0;302,00;0,160;-1,737;-1,577;0,076;1,7;24;0;0,147;0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;
25;8:00;01;2019;;14;6;1,8;361,40;119,759;0,000;;;0,020;0,020;;0;0,013;0,020;361,40;146,778;0,000;02:00;25;;0,203;;0;0,013;0,203;266,537;0,000;0,223;0,223;339,27;57,008;0,044;0,004;0,004;;;0,008;0,048;323,545;0,044;0,227;0,271;2,05;0,177;;0;302,00;0,160;-1,621;-1,461;0,116;1,7;24;0;0,147;0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;
26;8:00;01;2019;;17;4;1,6;361,38;119,620;-0,139;02:00;15;0,020;0,128;;0;0,011;-0,011;361,38;146,628;-0,150;04:00;25;;0,360;;0;0,012;0,210;266,248;-0,289;0,488;0,199;339,27;57,008;0,000;0,004;0,004;;;0,007;0,004;323,256;-0,289;0,492;0,203;2,85;0,246;;0;;;;;;1,7;24;0;0,147;0,8;24;0;0,069;0,35;24;0;0,030;0;0,246;;;
27;8:00;01;2019;;17;4;1,8;361,39;119,689;0,069;;;0,020;0,020;;0;0,012;0,089;361,39;146,703;0,075;;;;0,000;;0;0,014;0,075;266,392;0,144;0,020;0,164;339,28;57,052;0,044;0,004;0,004;;;0,008;0,048;323,444;0,188;0,024;0,212;2,05;0,177;;0;;;;;;1,7;24;0;0,147;0,0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;
28;8:00;01;2019;;14;6;2,0;361,39;119,689;0,000;;;0,020;0,020;;0;0,014;0,020;361,39;146,703;0,000;;;;0,000;;0;0,015;0,000;266,392;0,000;0,020;0,020;339,28;57,052;0,000;0,004;0,004;;;0,009;0,004;323,444;0,000;0,024;0,024;2,85;0,246;;0;302,00;0,160;-1,944;-1,784;#ÁVALOR!;1,7;24;0;0,147;0,8;24;0;0,069;0,35;24;0;0,030;0;0,246;;;
29;8:00;01;2019;;13;6;1,8;361,38;119,620;-0,069;01:30;15;0,020;0,101;1556;157;0,012;0,032;361,38;146,628;-0,075;02:00;15;;0,108;;0;0,014;0,033;266,248;-0,144;0,209;0,065;339,28;57,052;0,000;0,004;0,004;;;0,008;0,004;323,300;-0,144;0,213;0,069;2,85;0,246;;0;302,00;0,160;-2,040;-1,880;-0,096;1,7;24;0;0,147;0,8;24;0;0,069;0,35;24;0;0,030;0;0,246;;;
30;8:00;01;2019;;13;9;0,9;361,37;119,550;-0,070;02:00;15;0,020;0,128;;0;0,006;0,058;361,37;146,553;-0,075;02:00;20;;0,144;;0;0,007;0,069;266,103;-0,145;0,272;0,127;339,29;57,096;0,044;0,004;0,004;;;0,004;0,048;323,199;-0,101;0,276;0,175;3,05;0,264;;0;302,00;0,160;-2,162;-2,002;-0,122;1,7;24;0;0,147;1,0;24;0;0,086;0,35;24;0;0,030;0;0,264;;;
31;8:00;01;2019;2,5;13;10;1,0;361,36;119,480;-0,070;03:00;15;0,020;0,182;;0;0,007;0,112;361,36;146,478;-0,075;03:00;20;;0,216;;0;0,0075;0,141;265,958;-0,145;0,398;0,253;339,30;57,141;0,045;0,004;0,004;;;0,005;0,049;323,099;-0,100;0,402;0,302;3,15;0,272;;0;302,00;0,160;-1,984;-1,824;0,178;1,7;24;0;0,147;1,1;24;0;0,095;0,35;24;0;0,030;0;0,272;;;
1;8:00;02;2019;4,9;14;12;0,9;361,35;119,411;-0,069;04:00;20;0,020;0,308;;0;0,006;0,239;361,35;146,403;-0,075;04:00;20;;0,288;;0;0,007;0,213;265,814;-0,144;0,596;0,452;339,31;57,185;57,185;0,004;0,004;;;5,147;57,189;322,999;57,041;0,600;57,641;;;;;;;;;;;24;0;;;24;0;;;24;0;;0;;;;
2;8:00;02;2019;11,7;13;7;2,4;361,41;119,829;0,418;06:00;15;0,020;0,344;;0;0,017;0,762;361,41;146,853;0,450;06:00;20;;0,488;;0;0,018;0,938;266,682;0,868;0,832;1,700;339,40;57,585;0,400;0,004;0,004;;;0,011;0,404;324,267;1,268;0,836;2,104;;;;;;;;;;;24;0;;;24;0;;;24;0;;0;;;;
3;8:00;02;2019;;11;3;1,4;361,47;120,248;0,419;;;0,020;0,020;;0;0,010;0,439;361,47;147,305;0,452;;;;0,000;;0;0,011;0,452;267,553;0,871;0,020;0,891;339,49;57,987;0,402;0,004;0,004;;;0,006;0,406;325,540;1,273;0,024;1,297;;;;;;;;;;;24;0;;;24;0;;;24;0;;0;;;;
4;8:00;02;2019;;10;1;2,1;361,51;120,528;0,280;;;0,020;0,020;;0;0,015;0,300;361,51;147,606;0,301;;;;0,000;;0;0,016;0,301;268,134;0,581;0,020;0,601;339,54;58,212;0,225;0,004;0,004;;;0,009;0,229;326,346;0,806;0,024;0,830;;;;;;;;;;;24;0;;;24;0;;;24;0;;0;;;;
5;8:00;02;2019;;13;1;1,3;361,54;120,738;0,210;;;0,020;0,020;;0;0,009;0,230;361,54;147,833;0,227;;;;0,000;;0;0,010;0,227;268,571;0,437;0,020;0,457;339,57;58,346;0,134;0,004;0,004;;;0,006;0,138;326,917;0,571;0,024;0,595;;;;;;;;;;;24;0;;;24;0;;;24;0;;0;;;;
6;8:00;02;2019;;17;2;1,1;361,55;120,809;0,071;02:00;12;0,020;0,106;;0;0,008;0,177;361,55;147,908;0,075;02:00;15;;0,108;;0;0,008;0,183;268,717;0,146;0,214;0,360;339,60;58,481;0,135;0,004;0,004;;;0,005;0,139;327,198;0,281;0,218;0,499;;;;;;;;;;;24;0;;;24;0;;;24;0;;0;;;;
7;8:00;02;2019;;18;3;2,5;361,55;120,809;0,000;02:00;12;0,020;0,106;;0;0,018;0,106;361,55;147,908;0,000;02:00;15;;0,108;;0;0,019;0,108;268,717;0,000;0,214;0,214;339,63;58,616;0,135;0,004;0,004;;;0,011;0,139;327,333;0,135;0,218;0,353;;;;;;;;;;;24;0;;;24;0;;;24;0;;0;;;;
8;8:00;02;2019;;18;4;1,4;361,55;120,809;0,000;03:00;16;0,020;0,193;;0;0,010;0,193;361,55;147,908;0,000;03:00;20;;0,216;;0;0,010;0,216;268,717;0,000;0,409;0,409;339,65;58,707;0,091;0,004;0,004;;;0,006;0,095;327,424;0,091;0,413;0,504;;;;;;;;;;;24;0;;;24;0;;;24;0;;0;;;;
9;8:00;02;2019;;17;3;1,0;361,54;120,738;-0,071;04:00;18;0,020;0,279;;0;0,007;0,208;361,54;147,833;-0,075;04:00;21;;0,306;;0;0,008;0,231;268,571;-0,146;0,585;0,439;339,66;58,752;0,045;0,004;0,004;;;0,004;0,049;327,323;-0,101;0,589;0,488;;;;;;;;;;;24;0;;;24;0;;;24;0;;0;;;;
10;8:00;02;2019;;17;3;2,4;361,54;120,738;0,000;;;0,020;0,020;;0;0,017;0,020;361,54;147,833;0,000;;;;0,000;;0;0,018;0,000;268,571;0,000;0,020;0,020;339,67;58,797;0,045;0,004;0,004;;;0,011;0,049;327,368;0,045;0,024;0,069;;;;;;;;;;;24;0;;;24;0;;;24;0;;0;;;;
11;8:00;02;2019;;14;6;1,7;361,54;120,738;0,000;;;0,020;0,020;;0;0,012;0,020;361,54;147,833;0,000;;;;0,000;;0;0,013;0,000;268,571;0,000;0,020;0,020;339,68;58,842;0,045;0,004;0,004;;;0,008;0,049;327,413;0,045;0,024;0,069;;;;;;;;;;;24;0;;;24;0;;;24;0;;0;;;;
12;8:00;02;2019;;16;8;0,9;361,51;120,528;-0,210;04:00;21;0,020;0,322;;0;0,006;0,112;361,51;147,606;-0,227;04:00;12;;0,173;;0;0,007;-0,054;268,134;-0,437;0,495;0,058;339,69;58,887;0,045;0,004;0,004;;;0,004;0,049;327,021;-0,392;0,499;0,107;;;;;;;;;;;24;0;;;24;0;;;24;0;;0;;;;
