Dia;Hora;Mes;Anyo;Lluvia;Temperatura_Max;Temperatura_Min;Evaporacion;Cota_guadalhorce;Volumen_embalsado_guadalhorce;Variacion_volumen_guadalhorce;Tiempo_desembalse_guadalhorce;Caudal_desembalse_guadalhorce;Filtracion_guadalhorce;Volumen_desembalse_guadalhorce;Salinidad_guadalhorce;Toneladas_sal_guadalhorce;Volumen_evaporado_guadalhorce;Aportacion_aparente_guadalhorce;Cota_guadalteba;Volumen_embalsado_guadalteba;Variacion_volumen_guadalteba;Tiempo_desembalse_guadalteba;Caudal_desembalse_guadalteba;Filtraciones_guadalteba;Volumen_desembalse_guadalteba;Salinidad_guadalteba;Toneladas_sal_guadalteba;Volumen_evaporado_guadalteba;Aportacion_aparente_guadalteba;Volumen_total_guadalhorce_guadalteba;Variacion_total_guadalhorce_guadalteba;Desembalse_total_guadalhorce_guadalteba;Aportacion_aparente_total_guadalhorce_guadalteba;Cota_conde;Volumen_embalsado_conde;Variacion_volumen_conde;Filtraciones_conde;Volumen_desembalse_conde;Salinidad_conde;Toneladas_sal_conde;Volumen_evaporado_conde;Aportacion_aparente_conde;Volumen_total_guadalhorce_guadalteba_conde;Variacion_total_guadalhorce_guadalteba_conde;Desembalse_total_guadalhorce_guadalteba_conde;Aportacion_aparente_total_guadalhorce_guadalteba_conde;Caudal_total_demandas;Volumen_total_demandas;Salinidad_mezcla;Toneladas_sal_mezcla;Cota_gaitanejo;Volumen_gaitanejo;Volumen_central-reversible_tajo;Volumen_total_gaitanejo_tajo;Variacion_total_gaitanejo_tajo;Caudal_abastencimiento;Horas_abastecimiento;Min_abastecimiento;Volumen_abasteciemiento;Caudal_riego;Horas_riego;Min_riego;Volumen_riego;Caudal_ecologico;Horas_ecologico;Min_ecologico;Volumen_ecologico;Agua_sobrante;Total_volumen_abastecido;Aportacion_guadalhorce_tajo;Aportacion_arroyos_tajo;Total_aportacion
1;8:00;01;2017;;14;10;2,2;352,61;69,260;0,047;;;0,020;0,020;;0;0,010;0,067;345,20;55,383;0,039;;;;0,000;;0;0,009;0,039;124,643;0,086;0,020;0,106;332,82;32,472;-0,096;0,004;0,150;;;0,007;0,054;157,115;-0,010;0,170;0,160;1,95;0,168;;0;;;;;;1,6;24;0;0,138;0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
2;8:00;01;2017;;13;9;0,9;352,60;69,213;-0,047;03:00;11;0,020;0,136;;0;0,004;0,089;345,22;55,461;0,078;;;;0,000;;0;0,004;0,078;124,674;0,031;0,136;0,167;332,84;32,536;0,064;0,004;0,004;;;0,003;0,068;157,210;0,095;0,140;0,235;1,95;0,168;;0;;;;;;1,6;24;0;0,138;0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
3;8:00;01;2017;;13;7;1,0;352,62;69,307;0,094;;;0,020;0,020;3335;67;0,005;0,114;345,25;55,578;0,117;;;;0,000;;0;0,004;0,117;124,885;0,211;0,020;0,231;332,81;32,440;-0,096;0,004;0,114;;;0,003;0,018;157,325;0,115;0,134;0,249;1,95;0,168;;0;301,07;0,067;0,259;0,326;#ÁVALOR!;1,6;24;0;0,138;0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
4;8:00;01;2017;;15;6;1,6;352,62;69,307;0,000;01:20;11;0,020;0,080;;0;0,008;0,080;345,26;55,617;0,039;;;;0,000;;0;0,006;0,039;124,924;0,039;0,080;0,119;332,82;32,472;0,032;0,004;0,004;;;0,005;0,036;157,396;0,071;0,084;0,155;1,95;0,168;;0;300,93;0,056;0,224;0,280;-0,046;1,6;24;0;0,138;0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
5;8:00;01;2017;;15;5;1,0;352,64;69,402;0,095;;;0,020;0,020;;0;0,005;0,115;345,27;55,656;0,039;;;;0,000;;0;0,004;0,039;125,058;0,134;0,020;0,154;332,80;32,409;-0,063;0,004;0,114;;;0,003;0,051;157,467;0,071;0,134;0,205;1,95;0,168;;0;300,91;0,054;0,265;0,319;0,039;1,6;24;0;0,138;0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
6;8:00;01;2017;;15;5;0,7;352,62;69,307;-0,095;02:00;11;0,020;0,096;;0;0,003;0,001;345,29;55,735;0,079;;;;0,000;;0;0,003;0,079;125,042;-0,016;0,096;0,080;332,81;32,440;0,031;0,004;0,004;;;0,002;0,035;157,482;0,015;0,100;0,115;1,95;0,168;;0;;;;;;1,6;24;0;0,138;0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
7;8:00;01;2017;;14;10;1,9;352,61;69,260;-0,047;02:00;11;0,020;0,097;;0;0,009;0,050;345,31;55,813;0,078;;;;0,000;;0;0,007;0,078;125,073;0,031;0,097;0,128;332,82;32,472;0,032;0,004;0,004;;;0,006;0,036;157,545;0,063;0,101;0,164;1,95;0,168;;0;;;;;;1,6;24;0;0,138;0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
8;8:00;01;2017;;13;9;1,6;352,62;69,307;0,047;;;0,020;0,020;;0;0,008;0,067;345,33;55,891;0,078;;;;0,000;;0;0,006;0,078;125,198;0,125;0,020;0,145;332,79;32,377;-0,095;0,004;0,150;;;0,005;0,055;157,575;0,030;0,170;0,200;1,95;0,168;;0;;;;;;1,6;24;0;0,138;0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
9;8:00;01;2017;;14;2;1,0;352,63;69,355;0,048;02:00;11;0,020;0,117;;0;0,005;0,165;345,34;55,930;0,039;;;;0,000;;0;0,004;0,039;125,285;0,087;0,117;0,204;332,80;32,409;0,032;0,004;0,004;;;0,003;0,036;157,694;0,119;0,121;0,240;1,95;0,168;;0;301,12;0,072;0,340;0,412;#ÁVALOR!;1,6;24;0;0,138;0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
10;8:00;01;2017;;13;2;0,6;352,64;69,402;0,047;;;0,020;0,020;3182;64;0,003;0,067;345,35;55,970;0,040;;;;0,000;;0;0,002;0,040;125,372;0,087;0,020;0,107;332,77;32,313;-0,096;0,004;0,113;;;0,002;0,017;157,685;-0,009;0,133;0,124;1,95;0,168;;0;301,14;0,074;0,307;0,381;-0,031;1,6;24;0;0,138;0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
